step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
59,116,103.131664583656,7866.78879533094,7511.25353296448,-159.306949646924,7211.63821217068,5.32274709019122,4.46318723758796,179.985149078873,40,0,0,0,0.413491320119081,0.227327328173392,0,0,1,
60,118,102.813220425963,7867.03232399262,7511.51002986809,-159.136388277035,7196.92407079764,5.328473172852,4.55227786589101,-179.915894504064,40,0,0,0,0.419029066895587,0.237399696245841,0,0,1,
61,120,102.495122223144,7867.26918563743,7511.75976278577,-158.960951346118,7182.20868491776,5.33423432603649,4.64135897493414,-179.816904346829,40,0,0,0,0.424652489603681,0.247948517510746,0,0,1,
62,122,102.177379973763,7867.49906999671,7512.00242057117,-158.780389181592,7167.49235546057,5.34004816807978,4.73043108744714,-179.717877557605,40,0,0,0,0.430359906604186,0.259000455875431,0,0,1,
63,124,101.860004189336,7867.72165072006,7512.23767594026,-158.594437214627,7152.77481710983,5.34590495216147,4.81949386750395,-179.618814208499,40,0,0,0,0.43614732914922,0.270582081814509,0,0,1,
64,126,101.543005929301,7867.93658428155,7512.46518437556,-158.402813312546,7138.05612505695,5.35178412388272,4.90854660836639,-179.519715194417,40,0,0,0,0.442009595181369,0.282720600393776,0,0,1,
65,128,101.22639683396,7868.14350899872,7512.6845831563,-158.205217414664,7123.33643226741,5.35772030932232,4.99758878461576,-179.420579780832,40,0,0,0,0.447939046118969,0.295444138345429,0,0,1,
66,130,100.910189159438,7868.34204582297,7512.89549213079,-158.001334944238,7108.61573482446,5.36370632266625,5.08661923837428,-179.321406434367,40,0,0,0,0.453927959845699,0.308781364396839,0,0,1,
67,132,100.594395808296,7868.53179647232,7513.09751185697,-157.790833044882,7093.8939997156,5.36973270096596,5.17563936062179,-179.222194920403,40,0,0,0,0.459964344022274,0.322763533437295,0,0,1,
68,134,100.279030368361,7868.71234246941,7513.29022263017,-157.573359208785,7079.17114035966,5.37579544713472,5.2646470355398,-179.122944565432,40,0,0,0,0.466036235149175,0.337423873394389,0,0,1,
69,136,99.9641071488121,7868.88324397819,7513.47318332102,-157.348545505795,7064.44726370327,5.38191979179248,5.35364331186416,-179.023657033793,40,0,0,0,0.472131351243587,0.352792343527167,0,0,1,
70,138,99.6496412110357,7869.04404672906,7513.64593831327,-157.116009367811,7049.72247479823,5.38807654045309,5.44262626673904,-178.924328891915,40,0,0,0,0.478219782547565,0.368879256597487,0,0,1,
