mode,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,
1,63377.0109049433,118.291170232965,7947.7791984818,-140.850020140573,8775.20863467535,56.4765331010326,7.70927840022736,38.0041064918559,0.00743634927222183,8775.20863467535,6.10294727123619,-11.0385253854682,52.6765783683974,
1,63380.7309049427,117.767066932856,7948.25927975493,-140.930869280883,8746.58561799595,56.7037484733948,7.47081713852921,38.0875543621291,-0.0238994064582381,8746.58561799595,-3.52184417930403,-11.0747235981413,52.6538222002003,
1,63384.4709049421,117.239847583634,7948.73853663737,-141.006425274821,8717.962143658,56.9293829071811,7.23091273393422,38.0700595065442,0.00981349783476644,8717.962143658,-11.1291512195839,-11.111270757108,52.5941083654706,
1,63388.2109049415,116.712344268194,7949.21768952784,-141.080503670253,8689.33826603079,57.1558540591905,6.98693304899127,37.9765720166567,0.0154085831721952,8689.33826603079,-2.06217999081309,-11.1481619502119,52.5886461132332,
1,63391.8109049409,116.204333613909,7949.67868787343,-141.150342529937,8663.31624198087,57.3734829624217,6.74939757487992,37.9724138715253,-0.0101569821649876,8663.31624198087,15.4383878955505,-11.1819842325878,52.6755605904272,
1,63395.5309049403,115.679143730858,7950.14916308974,-141.214050659646,8634.69171769965,57.5979814704939,6.50112030514595,38.0224416760476,-0.000883794075992582,8634.69171769965,-2.28243567370191,-11.2195253048611,52.6545695885062,
1,63399.2509049397,115.150895338953,7950.6195516997,-141.274164236423,8606.06694621023,57.8232835869334,6.24855938366204,38.0457919901248,0.0175108705688721,8606.06694621023,0.0377864714573661,-11.2574376644718,52.6559992813691,
1,63402.9709049391,114.628082040623,7951.08258842915,-141.330282891115,8577.4419825688,58.0457685915762,5.99573355435601,38.0343841046753,-0.0177371981513858,8577.4419825688,4.51237179760574,-11.2956758034643,52.6809668313931,
1,63406.6909049385,114.102245277482,7951.54344225562,-141.380595039775,8548.81688270045,58.2690379229675,5.7385087692484,38.031987572734,-0.00230030029085393,8548.81688270045,3.51698647623925,-11.3342621019168,52.6980166103756,
1,63410.3909049379,113.579057687244,7951.99761094572,-141.425388097677,8520.19171211263,58.4906809659432,5.47959230213455,38.0239940891583,0.0190128642990676,8520.19171211263,5.22830447068736,-11.3732306716259,52.7250831694829,
1,63414.1309049373,113.050053345834,7952.45278933543,-141.466132070365,8491.56653450828,58.7142781114811,5.21469938106543,38.0190103514071,-0.0178536823667294,8491.56653450828,4.31456130860897,-11.4125271326663,52.7461647162613,
1,63417.8709049367,112.520908243572,7952.90307885252,-141.501457263926,8462.94141307123,58.9374200797912,4.94654893373088,38.0222719613179,-0.00273373912852064,8462.94141307123,-3.86603695664053,-11.45219098433,52.7224598799987,
1,63421.6109049361,111.991644431643,7953.34792074179,-141.531121207278,8434.31641836785,59.1600958990512,4.67507662186361,38.0630408116176,0.0185831242239346,8434.31641836785,4.54165873886086,-11.492235927252,52.7496642676485,
1,63425.3509049355,111.462284722279,7953.78341044156,-141.550843826253,8405.69162540871,59.3822941327722,4.4002164310859,38.0687027167629,-0.0103475563304293,8405.69162540871,-13.4710460767747,-11.5326208012711,52.6726765747949,
1,63429.0909049349,110.932853473773,7954.21493629979,-141.567375714965,8377.06711210098,59.6040030313332,4.12190085703129,37.9881942365648,-0.00239022755128274,8377.06711210098,-5.13891450320989,-11.5733800179906,52.651437687613,
1,63432.7909049344,110.4090398094,7954.63528877004,-141.57747591095,8348.44294658322,59.8228475805952,3.84309430698868,37.9911495835112,0.0100814157620786,8348.44294658322,8.08718340847372,-11.61452858759,52.6989844099854,
1,63436.5309049338,109.879545200561,7955.04941877535,-141.57700325695,8319.81920974373,60.0435472394437,3.55769862082607,38.0368153474447,-0.00997337337823015,8319.81920974373,-10.9043268579935,-11.6560182698819,52.6343068878507,
1,63440.2709049332,109.350061080436,7955.45656407665,-141.570671804094,8291.19599332407,60.2637206464574,3.26863704176438,38.004464125006,0.0169142840476111,8291.19599332407,1.59493306576951,-11.6979100214397,52.6489656493966,
1,63444.0109049326,108.820617645852,7955.85457394501,-141.556047807212,8262.57337746068,60.4833548680237,2.97583612361701,38.0145062951851,-0.00130592170252567,8262.57337746068,0.387795403366908,-11.7401664520077,52.6502590982516,
