step,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
43,210,101.784434910296,7989.77053502007,-95.548705797577,7967.1394560461,59.4179106576267,-6.56599389467107,30,-50,0,0,-13.8553355765974,0,0.522131791824831,
44,215,101.307051197215,7989.84121894691,-95.4021564014988,7929.11765873789,59.6973017114836,-6.99378697123746,30,-50,0,0,-13.9013445281963,0,0.537390464550806,
45,220,100.830434602546,7989.88535256549,-95.2416126034609,7891.10399912359,59.9754322087264,-7.42846352055261,30,-50,0,0,-13.9479996356547,0,0.552975236277574,
46,225,100.354657899035,7989.90104571178,-95.0659326987211,7853.09878899252,60.2522637598225,-7.87018569419479,30,-50,0,0,-13.995247606323,0,0.568820504408411,
47,230,99.8797998162964,7989.88625115072,-94.8738756051498,7815.10235418252,60.5277559092272,-8.31911927773808,30,-50,0,0,-14.0431378657164,0,0.584843364147836,
48,235,99.4059454771923,7989.83879788014,-94.6641401155653,7777.11507280187,60.8018678021607,-8.77543348266454,30,-50,0,0,-14.0916599805505,0,0.600904750345215,
49,240,98.9331866343338,7989.75635122869,-94.4353468733061,7739.13727131724,61.0745608587882,-9.23930065262152,30,-50,0,0,-14.1407779535239,0,0.616942563077042,
50,245,98.461622370312,7989.63624797495,-94.1859382523658,7701.16906630355,61.345789376979,-9.71089755873044,30,-50,0,0,-14.19054205131,0,0.632895934842615,
51,250,97.9913599853069,7989.47547619991,-93.9141851627378,7663.210910163,61.6155060876464,-10.1904031404095,30,-50,0,0,-14.2409315497989,0,0.648679867357797,
52,255,97.5225158785302,7989.27067699395,-93.6181804549342,7625.26331897848,61.8836644645502,-10.6780007151543,30,-50,0,0,-14.29190909933,0,0.664194496541658,
53,260,97.055216373709,7989.01815301606,-93.2958627516159,7587.32662690241,62.1502146712647,-11.1738759952518,30,-50,0,0,-14.3434693272369,0,0.679349114802187,
54,265,96.5895984772798,7988.71391460023,-92.9450239529888,7549.40132239353,62.4151108865493,-11.6782180162468,30,-50,0,0,-14.3956201381636,0,0.694078662924133,
55,270,96.1258105779467,7988.35373943689,-92.5633208659624,7511.48755336491,62.67829638615,-12.1912190392347,30,-50,0,0,-14.4483402174867,0,0.708382607641929,
56,275,95.6640130747296,7987.93333086411,-92.1482983419069,7473.58603143307,62.9397203917928,-12.7130738778371,30,-50,0,0,-14.5016232033527,0,0.722360208827217,
57,280,95.2043788833227,7987.44855901882,-91.6974058129235,7435.69702953112,63.1993266671951,-13.2439805474128,30,-50,0,0,-14.5554505648008,0,0.736318461078076,
58,285,94.747093893094,7986.8955046828,-91.2080112371259,7397.82103325606,63.4570533540664,-13.7841380456578,30,-50,0,0,-14.609818508286,0,0.750352326966138,
59,290,94.2923572764387,7986.27024182873,-90.677418277,7359.95881927735,63.7128486804151,-14.3337504702522,30,-50,0,0,-14.6647107750796,0,0.764447846515137,
60,295,93.8403820924703,7985.56865705256,-90.1027395412334,7322.11037232396,63.9666433174017,-14.8930207306143,30,-50,0,0,-14.7200636056393,0,0.778633809879108,
61,300,93.3913964832863,7984.78636516696,-89.480835392189,7284.27671398806,64.2183759537158,-15.4621554046445,30,-50,0,0,-14.7759126976412,0,0.792929752322113,
62,305,92.9456448878786,7983.91870836028,-88.8083337307221,7246.45822751402,64.4679854628824,-16.0413628292071,30,-50,0,0,-14.8322202397009,0,0.807169408976291,
63,310,92.5033889645487,7982.96065592284,-88.0817302188984,7208.65518574485,64.7153950043815,-16.6308499383858,30,-50,0,0,-14.8889275338858,0,0.82139025884999,
64,315,92.0649083066918,7981.90720498535,-87.2973531462867,7170.86870579403,64.9605394705106,-17.2308259273429,30,-50,0,0,-14.946093236336,0,0.83570606416435,
65,320,91.6305011622086,7980.75342131916,-86.4514283818899,7133.09910605367,65.2033498636242,-17.8415028350849,30,-50,0,0,-15.0036281045081,0,0.850096581178825,
66,325,91.2004847916914,7979.49438961976,-85.5401336485143,7095.34671338929,65.4437434927329,-18.4630869092598,30,-50,0,0,-15.0615184239759,0,0.864535478116685,
67,330,90.7751955667781,7978.12526179304,-84.55964292306,7057.61267279913,65.6816471677048,-19.0957857189352,30,-50,0,0,-15.1197248107943,0,0.87899481510906,
