step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
18,34,113.175583997808,8040.23120502612,-251.138088700152,7080.51084498902,18.5000754725135,-5.879990935774,-136.200782675392,40,0,0,0,0.290887594596276,0.0812023955302087,0,0,1,
19,36,112.6742883518,8040.77127461529,-250.157045141964,7066.09119011018,18.5240847482692,-5.76765557659789,-136.121776438506,40,0,0,0,0.2956869336155,0.0865939403782204,0,0,1,
20,38,112.174957953355,8041.30567294252,-249.172816831568,7051.67164787925,18.5482471018022,-5.65528957627335,-136.042791441755,40,0,0,0,0.300697580758288,0.0923975306033612,0,0,1,
21,40,111.677599316652,8041.83413454344,-248.185256995477,7037.25183960045,18.5725180574271,-5.542894797955,-135.963826502776,40,0,0,0,0.305910963879362,0.0986356200475159,0,0,1,
22,42,111.182219258649,8042.35637988425,-247.194209721234,7022.8318384867,18.597040523464,-5.43047071854076,-135.884883421365,40,0,0,0,0.311312680307077,0.105327687974197,0,0,1,
23,44,110.68882492053,8042.87211979194,-246.199506997008,7008.41182854759,18.6216711626763,-5.3180182350111,-135.805959410375,40,0,0,0,0.316886428974518,0.11248793851759,0,0,1,
24,46,110.19742378866,8043.38105713323,-245.200972043227,6993.99167635902,18.646468128678,-5.20553657434033,-135.727052703324,40,0,0,0,0.322611607306416,0.120126514093979,0,0,1,
25,48,109.70802370931,8043.88289011562,-244.198421753391,6979.57123056091,18.6714147621821,-5.09302673786297,-135.648165677546,40,0,0,0,0.328465946301371,0.12824677835162,0,0,1,
26,50,109.220632903974,8044.37731017859,-243.191662990797,6965.1508271681,18.6965441331969,-4.98048991573415,-135.569299135647,40,0,0,0,0.334444226203069,0.136873129218631,0,0,1,
27,52,108.735259997647,8044.86398393334,-242.180483201264,6950.73067379273,18.7218398925025,-4.8679261196486,-135.490447707396,40,0,0,0,0.340558269999939,0.146056264291914,0,0,1,
28,54,108.251914066053,8045.34254613749,-241.164644718865,6936.31034767512,18.7472589325196,-4.75533510860765,-135.411616587017,40,0,0,0,0.346815396256798,0.15584572593016,0,0,1,
29,56,107.770604683917,8045.81260270193,-240.143885774548,6921.89035699968,18.7728894859545,-4.64271811547729,-135.332798603105,40,0,0,0,0.353220146947569,0.166288179619984,0,0,1,
30,58,107.291341974679,8046.27373137426,-239.117919544055,6907.47019708385,18.7986622930403,-4.53007499759923,-135.253997134303,40,0,0,0,0.359774925505672,0.177423134814291,0,0,1,
31,60,106.814136660174,8046.72548456559,-238.086434450557,6893.05022005473,18.8246059359046,-4.41740613991472,-135.175210457845,40,0,0,0,0.366476065627123,0.189293500156033,0,0,1,
32,62,106.339000109288,8047.16739104819,-237.049095163759,6878.63035487751,18.8507058853346,-4.30471214926182,-135.096438319754,40,0,0,0,0.373319966018011,0.20193357667359,0,0,1,
33,64,105.865944385191,8047.59895783446,-236.005542744161,6864.21067693043,18.8769837989062,-4.19199386918937,-135.017685896906,40,0,0,0,0.380299194803101,0.215377787924149,0,0,1,
34,66,105.394982293499,8048.0196712635,-234.955393720023,6849.79176537734,18.9034478542668,-4.0792512763627,-134.938939145939,40,0,0,0,0.387406882238596,0.229655455727402,0,0,1,
35,68,104.926127429522,8048.42899913347,-233.898242071074,6835.37241527984,18.9300634168484,-3.96648499914059,-134.860214477648,40,0,0,0,0.394632506414988,0.244795104332498,0,0,1,
36,70,104.459394221603,8048.826397571,-232.833661881878,6820.95420231856,18.956862920529,-3.85369514296839,-134.781493517455,40,0,0,0,0.401957690931659,0.260803395690262,0,0,1,
37,72,103.994797971145,8049.21130025692,-231.76120090061,6806.5355398417,18.9838407283071,-3.74088261692373,-134.702790139633,40,0,0,0,0.409393718366683,0.27776021920664,0,0,1,
38,74,103.532354937758,8049.58307807812,-230.680350388054,6792.11779472071,19.0109877549393,-3.62804784099801,-134.624097188463,40,0,0,0,0.416960169689335,0.295772683549982,0,0,1,
39,76,103.072082458592,8049.94103703076,-229.590541985384,6777.70040991719,19.038311032282,-3.5151909606198,-134.545415509588,40,0,0,0,0.424667613540146,0.314942361271787,0,0,1,
40,78,102.613999067399,8050.28442084345,-228.49114705278,6763.28353075632,19.0658222209411,-3.40231304903385,-134.466744782942,40,0,0,0,0.432518162780454,0.335369899013525,0,0,1,
41,80,102.158124615801,8050.61241133025,-227.381476415698,6748.86725805122,19.0935055908063,-3.2894138115128,-134.38808020161,40,0,0,0,0.440505716466358,0.357152420007215,0,0,1,
42,82,101.704480394186,8050.92413012791,-226.260780817462,6734.45119937715,19.1213945238613,-3.17649488891742,-134.309431415807,40,0,0,0,0.448618562024314,0.38038545041855,0,0,1,
43,84,101.253089252062,8051.21863840735,-225.128249560087,6720.0363915757,19.1494471017923,-3.06355559939509,-134.230789311691,40,0,0,0,0.456836471360648,0.40516709604475,0,0,1,
44,86,100.803975721331,8051.49493365481,-223.983011241967,6705.62202906024,19.1776863678953,-2.9505972212358,-134.152155404509,40,0,0,0,0.465132631910518,0.431600096507783,0,0,1,
45,88,100.357166138231,8051.75195118143,-222.824132895344,6691.20839184085,19.2061127989752,-2.83762023751116,-134.073529351633,40,0,0,0,0.473475101195705,0.459792665007864,0,0,1,
46,90,99.9126887711277,8051.98854643093,-221.65061545736,6676.7955409798,19.2347527874117,-2.7246253538807,-133.994911998752,40,0,0,0,0.481824445749914,0.489857464964987,0,0,1,
47,92,99.4705739335697,8052.2035338164,-220.46142017632,6662.38365945413,19.2635827315048,-2.61161261871843,-133.916301119086,40,0,0,0,0.490114195284967,0.521831972257029,0,0,1,
48,94,99.0308540478069,8052.39566961949,-219.255464892381,6647.97261035147,19.2925782557423,-2.49858350502427,-133.837697599526,40,0,0,0,0.498313426997052,0.555894412074849,0,0,1,
49,96,98.5935638056267,8052.56356438323,-218.03155642231,6633.56263028602,19.3217854186329,-2.38553769316377,-133.759102912078,40,0,0,0,0.506396886289458,0.592301232397501,0,0,1,
50,98,98.158740406719,8052.70567281338,-216.788381063735,6619.1538932322,19.3511845479535,-2.27247675571766,-133.680511152489,40,0,0,0,0.514329756692524,0.631302368861149,0,0,1,
51,100,97.7264237912633,8052.82029509681,-215.524512835177,6604.74602836724,19.3808041035886,-2.15940058303848,-133.601926283382,40,0,0,0,0.522071333353739,0.673145169548132,0,0,1,
52,102,97.2966568626156,8052.90557837614,-214.238417508142,6590.33944874537,19.4106043911211,-2.04631017524098,-133.523345495184,40,0,0,0,0.529579336829525,0.718067114719452,0,0,1,
53,104,96.8694856902324,8052.95952683351,-212.928460745548,6575.93402655187,19.4406323302618,-1.93320659355786,-133.444772684016,40,0,0,0,0.536815580634457,0.766304582446362,0,0,1,
54,106,96.4449597072611,8052.98002122058,-211.592917523063,6561.53024510543,19.4708648314842,-1.82009019428016,-133.36620386124,40,0,0,0,0.543789270842799,0.817979415991522,0,0,1,
55,108,96.0231318830308,8052.96484212356,-210.229977555989,6547.12782846857,19.5013029365756,-1.70696183293825,-133.287636210559,40,0,0,0,0.550495756663779,0.873272560159294,0,0,1,
56,110,95.6040588819263,8052.91171988252,-208.837757816333,6532.7266387821,19.531964945536,-1.59382273827792,-133.209077314603,40,0,0,0,0.557003824792415,0.93219294172785,0,0,1,
57,112,95.1878012007652,8052.81842718633,-207.414310994923,6518.32750503808,19.5628571153,-1.48067312955102,-133.13051896016,40,0,0,0,0.563475748125414,0.994550935857679,0,0,1,
58,114,94.7744232847095,8052.68282238919,-205.957638331074,6503.92975941245,19.5939633609113,-1.36751439962698,-133.051967421833,40,0,0,0,0.56995977120101,1.06027386631999,0,0,1,
59,116,94.3639936056063,8052.50278679146,-204.465709061466,6489.53412347948,19.6252957570375,-1.25434744691678,-132.973416917287,40,0,0,0,0.576451436171969,1.12939852950964,0,0,1,
60,118,93.956584801171,8052.27609376172,-202.936369709863,6475.14019329883,19.6568581267295,-1.14117298805768,-132.894872615998,40,0,0,0,0.582963362911215,1.20215884362031,0,0,1,
61,120,93.5522739821216,8052.00037221954,-201.367301070368,6460.74854737112,19.688654092292,-1.02799214498162,-132.816329303186,40,0,0,0,0.58950626392986,1.27876830696273,0,0,1,
62,122,93.1511430507796,8051.67312898631,-199.756036624654,6446.35884748827,19.7206717204935,-0.914806021228287,-132.73778841445,40,0,0,0,0.596061553274296,1.35943560831025,0,0,1,
63,124,92.7532789612571,8051.29170590616,-198.099994883019,6431.97135815801,19.7529358268354,-0.801615605949465,-132.659252215148,40,0,0,0,0.602574887619954,1.4443890986278,0,0,1,
64,126,92.3587739441311,8050.85340166454,-196.396476442343,6417.58641232233,19.785451704727,-0.688421993452451,-132.580716028061,40,0,0,0,0.609125939368515,1.53360709665463,0,0,1,
65,128,91.9677257441189,8050.35548576216,-194.6426773277,6403.20371852013,19.8182195556891,-0.575226456900907,-132.502185024711,40,0,0,0,0.615710500427571,1.62714295609548,0,0,1,
66,130,91.5802377832122,8049.79520062984,-192.83572513585,6388.82389243934,19.8512213923714,-0.462030113754594,-132.423655892798,40,0,0,0,0.622324441081659,1.7250060413588,0,0,1,
67,132,91.196419284259,8049.16978298338,-190.972695690887,6374.44676825314,19.8845102240914,-0.348834195877586,-132.345129571592,40,0,0,0,0.628952398793349,1.8272163022236,0,0,1,
68,134,90.8163853479866,8048.4764763776,-189.050635701425,6360.07257426658,19.9180378636577,-0.235640011905147,-132.266609367387,40,0,0,0,0.635594579655895,1.93371931884872,0,0,1,
69,136,90.4402570520006,8047.71247794356,-187.066504990636,6345.70175952884,19.9518299348242,-0.122448856966926,-132.188087758233,40,0,0,0,0.642249805013907,2.04467470609464,0,0,1,
70,138,90.0681616655514,8046.87492581047,-185.017169872087,6331.33378581785,19.9858952556716,-0.00926212016477734,-132.109572283879,40,0,0,0,0.648909206243402,2.16006116987663,0,0,1,
71,140,89.7002327298224,8045.96099992845,-182.899505370934,6316.96949318357,20.0202384792857,0.103918798906548,-132.031054988688,38,120,180,116.288415717647,0.655558334760483,2.27974293751675,5.75866993000249,-389.69852753221,2,
72,142,89.3348171012793,8045.16448296819,-182.523195537022,6302.60831004321,20.0453279095817,0.21708818493164,-131.952539118765,38,40.0906558191633,0,113.585326068869,0.720855069365705,2.1550966320848,5.7752456720697,-9.50514197275111,2,
73,144,88.9716644790862,8044.28768771193,-180.619636715615,6288.25096010108,20.0739837778309,0.330241586004362,-131.874007705012,38,40.1479675556619,0,113.152091499566,0.728576475190357,2.27043771946502,5.79063683563811,-9.53772605602583,2,
74,146,88.6123746749545,8043.33737175328,-178.65991155431,6273.8962411351,20.1024993583749,0.443378754959483,-131.795468768087,38,40.2049987167498,0,112.72166396969,0.736291082400485,2.39027264683012,5.80597204452956,-9.57086124026194,2,
75,148,88.2570626201257,8042.3107428141,-176.64140292214,6259.54496314979,20.1308645148465,0.556497612957543,-131.716918615607,38,40.261729029693,0,112.293945419451,0.743990738364496,2.5147642829701,5.82124391162016,-9.60456103337977,2,
76,150,87.9058485719077,8041.20492139795,-174.561407796587,6245.19698359206,20.1590679801545,0.669596100804824,-131.638358233359,38,40.318135960309,0,111.868950654665,0.751662742398409,2.64403022666474,5.83644598537184,-9.63884103634415,2,
77,152,87.5588582512559,8040.01696603186,-172.417169457169,6230.85258550854,20.1870846322887,0.782672128084869,-131.559787550654,38,40.3741692645774,0,111.446791554399,0.759290005257058,2.77815351821979,5.85157115034979,-9.67371605644625,2,
78,154,87.2162229264947,8038.74389048937,-170.205902032513,6216.51195730714,20.2149113756266,0.895723489154207,-131.481198709489,38,40.4298227512532,0,111.027657019643,0.766851110417385,2.91717925306917,5.86661229969056,-9.70920102732174,2,
79,156,86.8780794460792,8037.382675247,-167.924816386296,6202.17458229141,20.2424918367189,1.0087477973815,-131.402600700749,38,40.4849836734378,0,110.611790055814,0.774320518072473,3.06113964201434,5.88156313306623,-9.74531218555107,2,
80,158,86.5445702153798,8035.93029857216,-165.571149667191,6187.84149541042,20.2698544089927,1.12174272155433,-131.323988831997,38,40.5397088179855,0,110.199431800908,0.781670605410559,3.21001988822817,5.89641542745571,-9.782062241375,2,
81,160,86.2158431151807,8034.38373437311,-163.142193200533,6173.51247672597,20.2969589156735,1.23470579293823,-131.245361811235,38,40.593917831347,0,109.790847158049,0.788870081377146,3.36380441288452,5.91116252716179,-9.81946611751722,2,
82,162,85.892051374089,8032.73997005623,-160.635312584698,6159.18762540364,20.3237572276284,1.34763457827871,-131.166716850729,38,40.6475144552568,0,109.38622966702,0.795887693022274,3.5224416969394,5.92579744277272,-9.85753759514357,2,
83,164,85.5733533828948,8030.99601670212,-158.047985292244,6144.86690088879,20.3502766682827,1.46052632971654,-131.088058772142,38,40.7005533365654,0,108.98571964703,0.802691686491408,3.68586252679766,5.94031345913185,-9.89629017767466,2,
84,166,85.2599124536486,8029.14892890599,-155.377817097897,6130.55097898774,20.3764776484359,1.57337860686212,-131.009384795294,38,40.7529552968719,0,108.589445127405,0.809248441502988,3.85397354452457,5.95470309578153,-9.93573513402467,2,
85,168,84.9518965264075,8027.19581405043,-152.622583086287,6116.23981963085,20.4023430583074,1.68618824561896,-130.93069367531,38,40.8046861166149,0,108.197443316179,0.815525583813574,4.02667420561992,5.96895996339022,-9.97588445168879,2,
86,170,84.6494778018314,8025.13383397162,-149.780246168762,6101.93356829433,20.4278571159553,1.79895259840301,-130.851984199332,38,40.8557142319107,0,107.809716242588,0.821490062348189,4.20375794725404,5.98307763844968,-10.0167488831596,2,
87,172,84.3528323399033,8022.96023105578,-146.848971573022,6087.63234028494,20.4529987574329,1.91166902164163,-130.773258128859,38,40.9059975148658,0,107.425967128917,0.82712042134131,4.38528065840101,5.9970500037438,-10.058338249965,2,
88,174,84.0621398038715,8020.67215092992,-143.826980570758,6073.33652304163,20.4777686379083,2.02433391403211,-130.694507485356,38,40.9555372758167,0,107.045782819973,0.8323993187279,4.57138116473756,6.01087048520768,-10.100661583973,2,
89,176,83.77758333054,8018.26666857758,-140.712588240387,6059.04566967636,20.5021138806456,2.13694486315447,-130.615738201566,38,41.0042277612913,0,106.668747204234,0.837308581008084,4.76211639424334,6.02453357100168,-10.1437293971954,2,
90,178,83.4993492990332,8015.74084342074,-137.504244972864,6044.76053470462,20.5260576300181,2.2494985831536,-130.536951009308,38,41.0521152600363,0,106.294408083153,0.841831318520446,4.95747824659638,6.03803226769179,-10.1875488802407,2,
91,180,83.2276270092186,8013.09174607983,-134.200586896013,6030.48144988003,20.5495547986601,2.36199147272335,-130.458140273091,38,41.0991095973202,0,105.922252180515,0.845953196135451,5.15737739651298,6.05136029610371,-10.2321273028004,2,
92,182,82.9626082736254,8010.31651102186,-130.800472498716,6016.20818095508,20.5726005400018,2.47442069353737,-130.379308073747,38,41.1452010800035,0,105.551739896931,0.849661117305475,5.36165494454368,6.06451242661921,-10.2774720876573,2,
93,184,82.7044869173514,8007.4123962883,-127.303038455794,6001.94115403482,20.5952085623466,2.58678286601983,-130.300452954526,38,41.1904171246932,0,105.182186246718,0.852950321546658,5.57004678459305,6.07748298235198,-10.3235877401595,2,
94,186,82.4534581967238,8004.37682010827,-123.707722232513,5987.68050335686,20.6173323624263,2.69907449101582,-130.221573815127,38,41.2346647248525,0,104.812903853594,0.855817392039994,5.78221695452135,6.09026719864035,-10.370477800179,2,
95,188,82.2097181591038,8001.20740563981,-120.01430410528,5973.42640252525,20.6389583371903,2.811292410089,-130.142674018726,38,41.2779166743806,0,104.443095723861,0.858266746692769,5.99773626891281,6.10286088777869,-10.4181438762979,2,
96,190,81.9734628921505,7997.90234506694,-116.222968391084,5959.17941390956,20.6601064660171,2.92343245950146,-130.063746420143,38,41.3202129320343,0,104.06929801401,0.860466784128025,6.21492391350607,6.11526072430603,-10.466583216074,2,
97,192,81.7448877613945,7994.46100581019,-112.33425698967,5944.93919457017,20.680760015953,3.03549180984257,-129.984792459702,38,41.361520031906,0,103.688583961041,0.862580090813871,6.43193013308517,6.12746727391491,-10.5157891397108,2,
98,194,81.5241865672972,7990.88352723227,-108.349195266932,5930.7061076481,20.7008969612955,3.14746699505648,-129.905817149496,38,41.401793922591,0,103.300985247513,0.864605616576026,6.64799017325672,6.13948195077142,-10.5657491757831,2,
99,196,81.311550648164,7987.17045439552,-104.269219170034,5916.48088450381,20.7205311259867,3.25935378004912,-129.826813121276,38,41.4410622519735,0,102.906552357138,0.866542839697679,6.86228638781698,6.15130669474362,-10.6164475138875,2,
100,198,81.1071680042352,7983.32286891255,-100.096240326417,5902.26316280083,20.7396649561448,3.371149253143,-129.747784043465,38,41.4793299122896,0,102.505365821359,0.868391573731177,7.07394980375175,6.16294626987125,-10.6678680254029,2,
101,200,80.9112223546775,7979.34232547957,-95.8326242718608,5888.05351404405,20.7582956490272,3.48284911656967,-129.668722593537,38,41.5165912980543,0,102.097543027525,0.870151470392599,7.28213999629438,6.17440529746736,-10.7199898025615,2,
102,202,80.7238922070647,7975.23091097892,-91.4812202979799,5873.85158134173,20.7764226453043,3.59445120128504,-129.589636552358,38,41.5528452906086,0,101.683218645511,0.871823423359566,7.48592336316586,6.18569096296221,-10.7727915162345,2,
103,204,80.5453498982107,7970.99122595244,-87.0453496809216,5859.65826809526,20.794071798327,3.70595102384131,-129.510522513872,38,41.588143596654,0,101.262697180352,0.873398373400685,7.68455833119925,6.19680987361253,-10.826246286872,2,
104,206,80.3757606416708,7966.626396176,-82.5288118677593,5845.47358827761,20.8112441132919,3.8173458178936,-129.431377839961,38,41.6224882265838,0,100.836061394405,0.874886092601308,7.87701811464301,6.20777108148502,-10.8803270401182,2,
105,208,80.2152815875467,7962.14007660221,-77.9358727666242,5831.29751936172,20.8279544115462,3.92863184961377,-129.352203776692,38,41.6559088230925,0,100.403608975532,0.876283133086462,8.06246477084674,6.21858486757187,-10.9350045802233,2,
106,210,80.0640608947929,7957.53642942976,-73.2712515866599,5817.13045617078,20.8442164139491,4.03980628836877,-129.272999623628,38,41.6884328278982,0,99.9656381679183,0.87758835686387,8.24006483575613,6.22926200962177,-10.9902466974163,2,
107,212,79.9222368329112,7952.8201267413,-68.5401135091658,5802.97255729348,20.8600488913162,4.15086622961159,-129.193766637837,38,41.7200977826323,0,99.5224765451613,0.878800750548033,8.40899975723518,6.23981468374552,-11.0460199618337,2,
108,214,79.7899369305912,7947.99631242951,-63.748045151114,5788.824166006,20.8754903438556,4.26180789888375,-129.11449960872,38,41.7509806877113,5.57160955371905,99.0744558422391,0.879921644101407,8.56842103042711,6.250255746065,-11.1022889864624,2,
109,216,79.6672771187853,7943.07062057358,-58.9010319325685,5774.68508015226,20.8905404420964,4.37262928693718,-129.035204345732,38,41.7810808841927,21.5500559930399,98.6219478063833,0.880951759421015,8.7176398800259,6.26059979038729,-11.1590184151703,2,
110,218,79.554361030261,7938.04907836392,-54.0053892738342,5760.55600729199,20.905248410607,4.4833275137071,-128.955875870578,38,41.810496821214,30.0658472844819,98.1654557289043,0.881880618858546,8.85615820017078,6.27086079468261,-11.2161697180621,2,
111,220,79.4512793316729,7932.93812227792,-49.0677615956872,5746.4367100369,20.9196301599987,4.59389931484986,-128.87651334249,38,41.8392603199975,36.7698535828878,97.7051227146233,0.882738946767516,8.9828104385536,6.28105482185496,-11.2737061077977,2,
112,222,79.3581091018952,7927.74457413361,-44.0950871609994,5732.32735610273,20.9337306308327,4.7043428619163,-128.797120212432,38,42.5448293559832,42.5448293559832,97.241683997865,0.883496698509777,9.0975586854386,6.29119796787799,-11.331589281587,2,
113,224,79.2748637136193,7922.47819286626,-39.1442273876432,5718.22842201545,20.9471063731238,4.8146558775781,-128.717691746144,38,47.6944356325783,47.6944356325783,96.7756365605122,0.884177965968885,9.1995048601303,6.30130631644155,-11.389780069654,2,
114,226,79.2011413715743,7917.16333223946,-34.5739495361888,5704.13965318772,20.9568184897805,4.92483304960612,-128.638229427137,38,52.0142324230027,52.0142324230027,96.3091906488071,0.88474689961225,9.28956076723826,6.31139827097543,-11.448239821912,2,
115,228,79.1362049426809,7911.80384928316,-30.3599198723482,5690.06155488931,20.9636024057534,5.03486977665284,-128.558722795016,38,55.7261843154276,55.7261843154276,95.8421598691873,0.885250944836661,9.36767611131667,6.32149114687911,-11.5069287674941,2,
116,230,79.0793642248074,7906.40401896744,-26.4795832163536,5675.99348026941,20.9679466041076,5.14476055547902,-128.479167388276,38,58.9639463102243,58.9639463102243,95.3747449025542,0.885696577333429,9.43454431661553,6.3316021990977,-11.5658145941519,2,
117,232,79.0299728871333,7900.96866499688,-22.9116616303577,5661.93539091527,20.9702915456653,5.25450196327587,-128.399564458586,38,61.8113338583241,61.8113338583241,94.9074362105224,0.886049039281272,9.49165451833597,6.34174716706469,-11.6248654532625,2,
118,234,78.9874267769419,7895.50249580086,-19.6352872872303,5647.88765002931,20.9709481725711,5.36409032563972,-128.319907529764,38,64.3411633279343,64.3411633279343,94.4402345045591,0.886354457671965,9.53894178197527,6.35193974719166,-11.6840519475471,2,
119,236,78.9511616660412,7890.01022480502,-16.6314333488531,5633.84991781348,20.9702019786535,5.47352404439188,-128.240194014965,38,66.5999279448631,66.5999279448631,93.9734823073644,0.886604593687702,9.5773442261348,6.36219371610434,-11.7433492972234,2,
120,238,78.9206505909758,7884.49630118588,-13.8818857600172,5619.82208793551,20.9682875759817,5.58279849562494,-128.16041907361,38,68.6255238807689,68.6255238807689,93.5074291219856,0.886804656480366,9.60753175298825,6.37252123591109,-11.8027352049351,2,
121,240,78.8954020018205,7878.96497350752,-11.369467071313,5605.80402670852,20.9653811620755,5.69191396943367,-128.080586114611,38,70.4479698482827,70.4479698482827,93.0423236959059,0.886958326643562,9.63015161966344,6.38293350227783,-11.8621900480651,2,
122,242,78.8749577368032,7873.42025698572,-9.07798278641462,5591.79606824705,20.9616748668415,5.8008672143155,-128.00069444868,38,72.0917233051008,72.0917233051008,92.5783995642281,0.887070467800231,9.64580874122102,6.39344002196995,-11.921695313704,2,
