mode,time,alt,speed,mach,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,84854.7741906709,133.605467928615,7960.87798476191,17.6790564184492,-128.925269715704,8567.17764168315,58.3918197619762,6.79321034532972,14.5712763427618,4.44304494056557,8567.17764168315,-1852.35150071275,-10.7235367768947,55.1617727991322,0.98818295478113,
1,84857.9541906715,133.196769992212,7961.2578249648,17.7435132245174,-128.833453263622,8542.67610029219,58.5824994358845,6.57207291192706,29.2285023303704,-0.228573560584665,8542.67610029219,-138.636026520164,-10.757015740946,55.9466693511843,0.992506710058442,
1,84861.0541906722,132.798072302043,7961.66554218204,17.8076872423757,-128.7719430426,8518.17451485089,58.7680778000612,6.35428576747783,37.5475524614786,-0.727591649342814,8518.17451485089,-343.295125740578,-10.7900882595141,53.6901110013767,0.988447731043721,
1,84864.3541906728,132.373381136368,7962.08398789227,17.8773543147853,-128.664236443241,8493.67293686816,58.9652911910935,6.12000484506456,38.6798446566855,-0.402392885045688,8493.67293686816,80.0710595131768,-10.8232865934763,54.555415708608,0.978514803829569,
1,84867.5941906735,131.95668125009,7962.49133907955,17.9471798473124,-128.552132806611,8469.17132716653,59.1585734402734,5.88748959783767,38.4494194342548,-0.199004013227936,8469.17132716653,-44.1674534597987,-10.856747031021,54.1746608205067,0.979705055496305,
1,84870.8741906742,131.535197485855,7962.90852535066,18.0193533104295,-128.443395302622,8444.66969707311,59.3538861050574,5.64954254699671,38.0780039627429,-0.095067190705883,8444.66969707311,51.395931595358,-10.8904539327454,54.5699122146567,0.984939688057004,
1,84874.1941906748,131.108948562535,7963.33248347449,18.0939614851719,-128.333804618929,8417.71787510488,59.551208666265,5.40602295925804,38.0665010980218,-0.00987108512073137,8417.71787510488,-16.823906024063,-10.9278213999332,54.4069507443255,0.989991735835587,
1,84877.4541906755,130.690775243647,7963.74478373565,18.1687495676345,-128.219517556687,8393.21624754388,59.744593071267,5.16424387204395,38.0887823681635,0.00727793053415641,8393.21624754388,17.7067437513706,-10.9620640029543,54.5449678783997,0.991987763081569,
1,84880.7141906762,130.272970776577,7964.15832999794,18.2450931170203,-128.105358962748,8368.71468277802,59.9376009392651,4.91978205279877,38.0764112555415,0.00614482945562517,8368.71468277802,-6.38950233018841,-10.996567427534,54.4844564048389,0.98948174920829,
1,84883.9741906768,129.855547561344,7964.56788799951,18.3230115290678,-127.984576380893,8344.213214684,60.1302242584576,4.6725903429843,38.0672262670194,-0.0266403681118747,8344.213214684,11.0209167859884,-11.0313264007612,54.5666037636339,0.990687625451781,
1,84938.874190688,122.893329503224,7971.29318290062,19.9041742711252,-125.550305276346,6746.39345119478,63.3077788382478,0.0506238001760416,41.0035143654091,0.268997030562549,6746.39345119478,-1957.02976820946,-47.3361202688016,0,0.989920904181185,
1,84941.4941906886,122.564390308767,7971.62112699711,19.9941857578075,-125.435193107261,7902.23171563664,63.455842201119,-0.194138994986063,38.6899214360836,0.0234957237320249,7902.23171563664,-2907.53960982004,-11.7323590425177,0,0.996285362354688,
1,84943.934190689,122.258423891672,7971.91672742815,20.0793692075746,-125.314038525515,7898.32021660827,63.5933997333682,-0.424290312449879,37.8045018878729,-0.0100609249134166,7898.32021660827,-1799.34120986286,-11.8125330351961,55.5445153211431,0.991567755432852,
1,84947.0941906897,121.862662347408,7972.30603092632,20.1917352345132,-125.166186851071,7873.83581934352,63.7710606196557,-0.725562769965253,37.7737841256501,0.00920116606639412,7873.83581934352,-147.617166067905,-11.8526918994198,56.226904771057,0.990209242214537,
1,84950.1741906903,121.477413803641,7972.67396449513,20.3034577757927,-125.006260683945,7849.35234315946,63.9436835505948,-1.02274708050016,37.9105514179464,0.00307848744002422,7849.35234315946,-268.645996843649,-11.8931314889953,54.4971435652376,0.991430303893379,
1,84953.414190691,121.072675518412,7973.06252285738,20.4234248271511,-124.839285722147,7824.86984219659,64.1246857178507,-1.33920552740536,37.9895975567639,-0.0143726837956603,7824.86984219659,17.2050194402891,-11.933888498396,54.8634267642956,0.990582483012628,
1,84956.6341906916,120.670974626623,7973.44574073733,20.5451806036675,-124.66885440687,7800.38836256672,64.3039599425193,-1.65767550644492,38.0182678730171,-0.0251880245097077,7800.38836256672,-41.6210096260684,-11.9749503259261,54.5585513043007,0.987131131858734,
1,84959.8541906923,120.269822325884,7973.82890979698,20.6695352427684,-124.497758031287,7775.90795126821,64.4826118021451,-1.98016841017236,38.0219037635347,-0.00245025010819507,7775.90795126821,17.0229402482773,-12.016303036365,54.7149888993667,0.990309973726611,
1,84963.0741906929,119.869231388496,7974.20880967247,20.7967475561041,-124.321897409959,7751.42865589406,64.6606273024864,-2.30675545969734,38.0206747697807,0.0192256689954277,7751.42865589406,-33.2865299934947,-12.057929623325,54.4681045910636,0.984950060314929,
1,84966.2941906936,119.469201312982,7974.59019538592,20.9294903599354,-124.147484914507,7726.95052088238,64.8379922313284,-2.63750903183158,38.0172725821279,0.0059537236875061,7726.95052088238,14.4913588362215,-12.099885066724,54.5992915300254,0.987527893510864,
1,84969.5541906943,119.064781569676,7974.97179684137,21.0702039859248,-123.964649549447,7702.47359006314,65.016882735925,-2.97669102829844,38.0195595702383,-0.022063143101181,7702.47359006314,-4.10389319187107,-12.142152942422,54.5574503449257,0.990541378330424,
1,84972.7941906949,118.66343658858,7975.35035487822,21.2162064781817,-123.781746043148,7677.99792068201,65.1939847400005,-3.31817486297969,38.0175773215452,0.00869501704252381,7677.99792068201,20.1287693678896,-12.1847072527253,54.7006606116468,0.993471831902917,
