dtegd,tgtsite,alpha,delaz,drag,egflg,hls,lod,rdot,roll,trange,ve,vi,xlfac,cd,mm304ph,mm304al,ital,aclam,aclim,acmd1,aldref,alpcmd,rolcmd,spdbcmd,alpdot,a_0,a_1,a_2,cag,cdcal,cq1_0,cq1_1,cq1_2,cq2_0,cq2_1,cq2_2,cq3_0,cq3_1,cq3_2,c16,c17,c2,d23,ddp,delalp,dlrdot,drdd,drefp,drefp1,drefp3,drefp4,drefp5,dx_0,dx_1,dx_2,dzold,eef,eg_end,eowd,hs,ialp,ict,idbchg,islect,itran,lmflg,lmn,lodv,lodx,n_quad_seg,q_0,q_1,q_2,q_3,rcg,rcg1,rdealf,rdtref,rdtrf1,rdtrft,req1,rer1,rf_0,rf_1,rf_2,rff1,rdtrf,rk2rol,rk2rlp,rlm,rollc_0,rollc_1,rollc_2,rollc_3,rolref,rpt,rrflag,start,t2,t2dot,vb2,vcg,ve2,vf_0,vf_1,vf_2,vo_0,vo_1,vo_2,vq2,vsat2,vsit2,vtrb,vx_0,vx_1,vx_2,xlod,zk,tran2f_nom,tran3f_nom,tran4f_nom,tran5f_nom,tran5f_vtran,tran3f_vb1,tran3f_drefp4,tran4f_alfm,tran4f_drefp4,dummy,tgtsite0,
2,Edwards,40,-2.45219347575018,0.0345848453471478,0,388778.230416008,0.240315000396404,-520.563089331634,0,4339.39124252798,24560.2205040444,25731.0930318592,0.0362467220139603,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604644949.455616,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314110766.389045,False,9762875.81242759,22386.3717339301,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.2654503440315,0.0108871557282644,361000000,10499,603204431.207281,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45192554694827,0.0357484312632931,0,387737.19197374,0.242120849094631,-520.474794257647,0,4331.48936804467,24561.4915974844,25732.2791553064,0.0374915308552492,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604707310.488786,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314108491.161212,False,9762805.09607796,22385.171186176,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.2873208542026,0.0109352550855739,361000000,10499,603266869.493298,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45167001944659,0.0369681161169454,0,386696.333792809,0.244021511942399,-520.382819369337,0,4323.58671681878,24562.7596365553,25733.4627458443,0.0387984281935146,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604769524.891464,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314106148.325044,False,9762732.27839385,22383.9735232736,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.3092781442562,0.0109786450267908,361000000,10499,603329160.963188,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45139325456017,0.0382465753243499,0,385655.663282124,0.246008223415589,-520.287115878743,0,4315.68679705242,24564.0251199362,25734.643679858,0.0401704027899588,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604831617.109248,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314103750.356868,False,9762657.747152,22382.7782742202,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.3313140366921,0.0110179462179474,361000000,10499,603391330.092859,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45116571673231,0.0395864961803395,0,384615.187944789,0.248088724550884,-520.187636337178,0,4307.78245773769,24565.2873110223,25735.8218290426,0.0416107227819477,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604893550.977672,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314101279.393472,False,9762580.9471459,22381.5861347394,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.3534470869165,0.011066525112196,361000000,10499,603453340.673073,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45095090445518,0.0409905332809402,0,383574.915392253,0.250268723338301,-520.084320637587,0,4299.8773808243,24566.5466803282,25736.9970579726,0.043122637777371,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604955349.561052,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314098747.226203,False,9762502.24486242,22380.39666043,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.3756686796703,0.0111107963769008,361000000,10499,603515215.796746,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45071354429084,0.04246145310562,0,382534.8533523,0.252549668321691,-519.97711277122,0,4291.97502168347,24567.80229981,25738.1692273256,0.044709489206936,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,605016967.294464,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314096131.293032,False,9762420.93905115,22379.2107278295,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.397969201559,0.0111502609443388,361000000,10499,603576909.84255,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45052778962917,0.0440018549267382,0,381495.009670117,0.254932143742829,-519.86595124617,0,4284.0683594372,24569.0549740461,25739.3381913989,0.0463744762063428,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,605078443.636226,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314093451.599976,False,9762337.65151913,22378.0275770134,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.4203686966035,0.0111997475222756,361000000,10499,603638462.3177,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45035497136211,0.0456144789541763,0,380455.392321165,0.257416720761604,-519.750768235566,0,4276.16074902868,24570.3038945247,25740.5037990834,0.0481209760869081,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,605139738.882574,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314090688.527189,False,9762251.7724619,22376.8479716214,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.4428579917698,0.0112446475831494,361000000,10499,603699833.469296,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45015990276017,0.0473018743997861,0,379416.00941627,0.260003418213247,-519.631494256191,0,4268.25604958288,24571.5492477827,25741.6658936421,0.0499522003902354,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,605200862.161044,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314087846.905064,False,9762163.45201293,22375.6717354693,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.4654274388536,0.0112847235419054,361000000,10499,603761032.43621,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
