step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,entry_phase,
60,118,105.678245416765,7841.49867076518,-138.233027322763,7307.33564771116,12.5472307561586,-14.0341034658288,-132.25487084734,40,0,0,0,0.38989923974114,0.0638044085845999,0,1,
61,120,105.401824951683,7841.7037699922,-138.186832359665,7292.83377094966,12.5633058617642,-13.9260774281723,-132.17354344873,40,0,0,0,0.394057124146673,0.0662757606919365,0,1,
62,122,105.12550043024,7841.90374525102,-138.137058783147,7278.33226800959,12.5794762415371,-13.8180085897558,-132.092291334931,40,0,0,0,0.398264165812395,0.068840380545397,0,1,
63,124,104.849279148586,7842.09839946302,-138.083566934988,7263.83033831602,12.5957524005714,-13.7099017457907,-132.011118721452,40,0,0,0,0.40251654745455,0.0714997559339482,0,1,
64,126,104.573168686873,7842.28753567027,-138.026212820148,7249.32871785365,12.6121351166154,-13.6017548467515,-131.93002016502,40,0,0,0,0.406809619048264,0.0742537703111413,0,1,
65,128,104.297176916587,7842.47094917601,-137.964847143939,7234.82685616957,12.6286214421863,-13.4935702206658,-131.848998446486,40,0,0,0,0.411147317328095,0.0771092811260541,0,1,
66,130,104.02131202146,7842.64842049345,-137.899307199883,7220.32519263379,12.645220267117,-13.3853456470119,-131.768050542174,40,0,0,0,0.415535882464204,0.0800733209844497,0,1,
67,132,103.745582522972,7842.81971535005,-137.829417691866,7205.82336139518,12.6619154056031,-13.2770817976438,-131.687174932384,40,0,0,0,0.419978489845114,0.0831532875079846,0,1,
68,134,103.469997306049,7842.98458503174,-137.754990601377,7191.32133008249,12.6786955017021,-13.1687811491709,-131.60637529555,40,0,0,0,0.424478785786104,0.0863563198586932,0,1,
69,136,103.194565644403,7843.1427656671,-137.675824914459,7176.81962262042,12.6956616461906,-13.0604444215625,-131.525650537015,40,0,0,0,0.429038497238146,0.0896896416125466,0,1,
70,138,102.919297227433,7843.29397823097,-137.591706053989,7162.31824521379,12.7126944090209,-12.9520685105533,-131.444995267993,40,0,0,0,0.433658300374707,0.0931601834443279,0,1,
71,140,102.644202187005,7843.43792974351,-137.502406083218,7147.8165738431,12.7298383315436,-12.8436577115653,-131.364414648496,40,0,0,0,0.438338360548491,0.0967750762501063,0,1,
72,142,102.369291124617,7843.57431209451,-137.407683225158,7133.31538670622,12.747109426472,-12.7352097609981,-131.283905251679,40,0,0,0,0.443077037603805,0.100541930022686,0,1,
73,144,102.094575138801,7843.70280294417,-137.307282333328,7118.81428146423,12.7644774473904,-12.6267245748865,-131.203464072827,40,0,0,0,0.447873846038172,0.104466578974094,0,1,
74,146,101.820065852549,7843.82306459583,-137.20093352207,7104.31304902052,12.7819697024098,-12.5182045472349,-131.123094324061,40,0,0,0,0.452724745017829,0.108557541183714,0,1,
75,148,101.545775442506,7843.93474363987,-137.088353819525,7089.81216996208,12.7995645208689,-12.4096495703794,-131.042792987995,40,0,0,0,0.457625376439983,0.112821779395839,0,1,
76,150,101.271716666279,7844.03747184698,-136.969244826425,7075.31143244486,12.8172483865818,-12.3010601232778,-130.962560932956,40,0,0,0,0.462571059974262,0.117266938886229,0,1,
77,152,100.997902891885,7844.13086345118,-136.843294214103,7060.81098560436,12.8351037373024,-12.1924366962038,-130.882399037279,40,0,0,0,0.467556188656357,0.121900855214932,0,1,
78,154,100.724348127533,7844.21451739822,-136.7101742273,7046.31098042053,12.8530383789551,-12.0837783830415,-130.802301982486,40,0,0,0,0.472573822949024,0.126731859403255,0,1,
