step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
17,32,116.913512744261,7844.66298062508,7484.09585112856,-158.529591756276,7931.24704507587,-4.34500001468897,32.8608680562284,153.088165161032,40,0,0,0,0.248490474182024,0.0377301360164635,0,0,1,
18,34,116.596485428234,7845.02227344969,7484.45903263356,-158.497543580162,7916.59775311524,-4.35295142662951,32.9176162135152,153.230307271037,40,0,0,0,0.250500144310686,0.0391237660455182,0,0,1,
19,36,116.279523386807,7845.38063776702,7484.82131455401,-158.464314073216,7901.94725804599,-4.36093629817583,32.9741845928847,153.372659573596,40,0,0,0,0.252599250595229,0.0405854411457266,0,0,1,
20,38,115.962629000618,7845.73802808079,7485.18265154881,-158.42988493121,7887.29559834578,-4.36896285988926,33.0305771081842,153.515217377387,40,0,0,0,0.254787896340283,0.0421178728695565,0,0,1,
21,40,115.645804688225,7846.09439801059,7485.54299738393,-158.394236688284,7872.64290893234,-4.37702774077176,33.0867929592448,153.657983004973,40,0,0,0,0.257066105442652,0.0437238720445106,0,0,1,
22,42,115.329052907878,7846.44969890913,7485.90230357026,-158.357349132647,7857.98901821473,-4.38512948831146,33.1428345810698,153.800954358084,40,0,0,0,0.259432788172738,0.045406119488959,0,0,1,
23,44,115.012376159374,7846.80388013522,7486.26051960086,-158.31920090626,7843.33393427801,-4.39327012283066,33.1986968284672,153.944133941202,40,0,0,0,0.261887014319526,0.0471674647870771,0,0,1,
24,46,114.695776986507,7847.15689026186,7486.61759419865,-158.279769352227,7828.67770901019,-4.40145162607446,33.2543786931888,154.087522720052,40,0,0,0,0.264428771258823,0.0490109041317251,0,0,1,
25,48,114.379257980205,7847.50867434458,7486.97347254896,-158.239029850391,7814.02028987701,-4.40967384809538,33.3098831146318,154.231117200503,40,0,0,0,0.267057570989012,0.0509415482656194,0,0,1,
26,50,114.062821781959,7847.85917442847,7487.328096815,-158.196956245814,7799.36176945962,-4.41793508229342,33.3652050793144,154.374921063187,40,0,0,0,0.269774694924298,0.0529650613977571,0,0,1,
27,52,113.746471088211,7848.20832823366,7487.68140483472,-158.153520184952,7784.70209346018,-4.42623857896851,33.420347931144,154.518929878927,40,0,0,0,0.272587788425729,0.0550891274414101,0,0,1,
28,54,113.430208653505,7848.55606995901,7488.03333093446,-158.108691419058,7770.04140787778,-4.43458309585833,33.4753092903978,154.663148401405,40,0,0,0,0.275492307358069,0.0573185765805603,0,0,1,
29,56,113.114037296521,7848.90232998466,7488.38380559805,-158.062436490514,7755.37942652284,-4.44296775691186,33.530089141673,154.807574762067,40,0,0,0,0.278490856665143,0.0596596206136211,0,0,1,
