iphase,time,alt,speed,mach,hdot,lat,long,psd,x,y,rpred,herror,psha,dpsac,nzc,nztotal,phic_at,dsbc_at,eow,es,en,emep,hdref,dnzc,
1,1183000.72636785,44289.4337293524,1602.0348558222,4.91824959333361,-112.100289934523,29.6697225677373,-78.9353963957259,89.6477241893845,-15737.0618958348,-206560.362476017,244304.689370972,-2270.95379441463,273.358730252071,-3.00645444145543,-0.0270000000204891,0.958327269275658,-7.51613610363858,0.659229208924949,175145.517852771,187152.292670273,165714.176444907,142811.965181447,-177.816044449239,-2.47896674167989,
1,1183000.96636785,44264.7004638696,1601.47690493046,4.9170362031645,-112.744566959665,29.6679962858391,-78.9387999604781,89.6467970263436,-15729.6623191069,-206211.349684077,243955.887487571,-2285.03052857152,273.364712428839,-3.01150945518287,-0.0490000000409782,0.936311765125559,-7.52877363795719,0.659229208924949,175029.65229449,186877.783146422,165466.527107692,142599.35299342,-177.748765768982,-2.47781365106714,
1,1183001.16636785,44239.8269344447,1600.9083066738,4.91579064368927,-113.377017880381,29.6665582250292,-78.9416351137408,89.6458644678953,-15722.2693030966,-205862.468738243,243607.19443055,-2298.95489004494,273.368308808308,-3.014173276203,-0.0710000000614672,0.914305734695676,-7.53543319050749,0.659229208924949,174911.940055885,186603.359269696,165218.955037207,142386.807140513,-177.680360132215,-2.47671728846542,
1,1183001.40636785,44214.8156570755,1600.33173130175,4.91451928465754,-114.00150692829,29.6648331696576,-78.9450359010826,89.6449341322615,-15714.8828608561,-205513.721627386,243258.636138851,-2312.72650869484,273.371906695222,-3.01684082748358,-0.0930000000819563,0.892329951731801,-7.54210206870894,0.659229208924949,174792.8212591,186329.041454221,164971.478650101,142174.343433808,-177.611096226937,-2.47562432414983,
1,1183001.62636785,44189.66667346,1599.76054101789,4.91324687519508,-114.616565164079,29.6632524503408,-78.948151962082,89.6431036895904,-15707.5031031866,-205165.108375618,242910.203937126,-2326.34639149583,273.375516242279,-3.01861993186901,-0.115000000102445,0.870247677855964,-7.54654982967253,0.659229208924949,174674.477125741,186054.822872438,164724.091786876,141961.956585246,-177.542477389071,-2.47457930914181,
1,1183001.82636785,44164.3791035814,1599.18339137462,4.91198566254574,-115.213139713819,29.6618158887538,-78.9509836233598,89.6407573828594,-15700.1273804329,-204816.627770313,242561.900121934,-2339.81340290063,273.37913683871,-3.01989422156917,-0.137000000122935,0.8478360236567,-7.54973555392294,0.659229208924949,174555.055871328,185780.705331755,164476.79607809,141749.647994696,-177.473312151344,-2.47369755309612,
1,1183002.06636785,44138.9609130239,1598.58727112672,4.91068711323478,-115.761419282188,29.6600925664027,-78.9543801421617,89.6382472900343,-15692.7509658882,-204468.282744769,242213.730678137,-2353.13484257829,273.382767187601,-3.02101447763553,-0.159000000143424,0.825246215756525,-7.55253619408883,0.659229208924949,174432.445531672,185506.693542301,164229.595772994,141537.42131023,-177.402392237054,-2.47340619436881,
1,1183002.28636785,44113.4233688461,1597.96951424802,4.90919719632036,-116.271320221776,29.6585133719928,-78.9574921492153,89.6351767537475,-15685.3694201617,-204120.076842796,241865.694879989,-2366.32205833873,273.38640604916,-3.02158280290797,-0.183000000165775,0.800837306062896,-7.55395700726993,0.659229208924949,174306.226409907,185232.786932907,163982.490356309,141325.276089468,-177.32934553509,-2.4735608754909,
1,1183002.48636785,44087.7766405558,1597.32361074307,4.90789772199651,-116.713595953122,29.6570781761015,-78.9603199773868,89.631502330312,-15677.9807787934,-203772.014697609,241517.796733019,-2379.38477400817,273.390052837993,-3.02155516830493,-0.203000000184402,0.780851054544679,-7.55388792076232,0.659229208924949,174175.352401681,184958.988655955,163735.48267196,141113.214773983,-177.253688473319,-2.47459270739412,
1,1183002.72636785,44062.0379992537,1596.63511075055,4.90636210531788,-117.084906127668,29.6553564946214,-78.9637116713446,89.6274108111735,-15670.5819188667,-203424.10315376,241170.044557955,-2392.33933486798,273.393706612066,-3.0211174232396,-0.225000000204891,0.758764299200237,-7.552793558099,0.659229208924949,174037.493722193,184685.305259915,163488.578627665,140901.242435673,-177.173842990115,-2.47653856741122,
1,1183002.92636785,44036.2247550879,1595.8998169604,4.90468597837651,-117.386767254945,29.6539221869596,-78.9665365472435,89.6216034974761,-15663.1657734036,-203076.351650577,240822.434413737,-2405.20348957473,273.397365290468,-3.01896878794372,-0.24700000022538,0.736168380820783,-7.5474219698593,0.659229208924949,173891.993595909,184411.733643144,163241.77542527,140689.356672265,-177.089334363328,-2.47938084911251,
1,1183003.16636785,44010.3530187374,1595.12265607362,4.90287898053468,-117.616393132428,29.6522014925507,-78.9699244185387,89.6143234019558,-15655.721227147,-202728.769311763,240474.977308006,-2417.9921240248,273.401025659272,-3.01534906122782,-0.269000000245869,0.713369631632284,-7.53837265306956,0.659229208924949,173739.680022798,184138.282468734,162995.080880201,140477.564193466,-177.000740127482,-2.4831791037162,
1,1183003.38636785,43984.4401395135,1594.30208812276,4.90094174265778,-117.769041219426,29.6506246415394,-78.9730279617322,89.6062245265793,-15648.2422336539,-202381.364480692,240127.687763026,-2430.72097168638,273.40468589329,-3.01091041986913,-0.291000000266359,0.690585143699407,-7.52727604967284,0.659229208924949,173580.329947373,183864.963165808,162748.505303265,140265.873851324,-176.907931728555,-2.48801190395224,
1,1183003.58636785,43958.5023916187,1593.43910512592,4.89887589359338,-117.851285050907,29.649191515986,-78.9758476140949,89.5974170782512,-15640.7241589863,-202034.145436149,239780.574944534,-2443.40528692159,273.408344553132,-3.00576163138308,-0.313000000286848,0.667758471328973,-7.5144040784577,0.659229208924949,173414.131728888,183591.782947865,162502.055202136,140054.291232812,-176.810968919618,-2.49379321631982,
1,1183003.82636785,43932.5569772869,1592.52868935781,4.89667197262543,-117.859791964857,29.6474722415263,-78.9792288725412,89.5876605800037,-15633.1619613396,-201687.121745769,239433.645780901,-2456.06150106819,273.412000056182,-2.99966063618517,-0.335000000307337,0.644912408698991,-7.49915159046292,0.659229208924949,173240.298922476,183318.747267581,162255.735495956,139842.820561119,-176.709321450693,-2.50057533150322,
1,1183004.04636785,43906.6197390854,1591.57840623358,4.89411337818366,-117.804073243214,29.6458967060694,-78.9823260437818,89.5772999407188,-15620.2805907991,-201340.710691315,239086.991907664,-2468.69526071857,273.414177968368,-2.99147790908636,-0.359000000329689,0.620087664755997,-7.47869477271589,0.659229208924949,173060.088415524,183045.928242767,162009.611245958,139631.517692688,-176.603755995746,-2.5082328974613,
1,1183004.24636785,43880.7032333286,1590.59475402968,4.89188069250909,-117.694760533027,29.6444647927158,-78.9851396664798,89.5664445256862,-15617.8904745526,-200993.692596942,238740.381542479,-2481.3449118207,273.41929044778,-2.98573497346655,-0.379000000348315,0.599535763588865,-7.46433743366637,0.659229208924949,172874.578344868,182773.143459094,161763.517886677,139420.241344589,-176.494910004296,-2.51664383796174,
1,1183004.48636785,43854.818202531,1589.58372157222,4.88933652884823,-117.54284368342,29.6427469949822,-78.9885134436621,89.5551735354312,-15610.175486683,-200647.300399743,238394.061623467,-2493.99372092374,273.422936166116,-2.97810970154688,-0.401000000368804,0.577092089499519,-7.44527425386721,0.659229208924949,172684.760237299,182500.587258592,161517.630744178,139209.142037955,-176.38336060141,-2.52564330463295,
1,1183004.68636785,43828.9732912621,1588.55036509042,4.88671545164883,-117.358018180626,29.6413159179647,-78.9913227361037,89.5435290202416,-15602.4046127026,-200301.13019884,238047.957430324,-2506.65864647159,273.426568522893,-2.97009754313468,-0.423000000389294,0.554835480334961,-7.42524385783671,0.659229208924949,172491.470249478,182228.200835859,161271.896767047,138998.174227025,-176.269591341628,-2.53510656122513,
1,1183004.92636785,43803.1743620448,1587.5042520969,4.88403951890771,-117.153493664486,29.6395991292713,-78.9946912343798,89.5316424442801,-15594.5762902155,-199955.185545097,237702.073891738,-2519.34500258875,273.43019326228,-2.96183570656008,-0.445000000409783,0.532804372097979,-7.4045892664002,0.659229208924949,172296.270091311,181955.988069807,161026.319454651,138787.34091608,-176.154560202894,-2.5448562574428,
1,1183005.14636785,43777.4245279459,1586.45256606241,4.88133563246003,-116.940311896917,29.6380258890659,-78.9977764626635,89.519606618741,-15586.6894856522,-199609.46821568,237356.413710373,-2532.05560162578,273.433810038753,-2.95341665749397,-0.467000000430272,0.511028272772464,-7.38354164373494,0.659229208924949,172100.32905001,181683.951087451,160780.900725881,138576.643752529,-176.038977333692,-2.55474172805983,
1,1183005.34636785,43751.7244534139,1585.4026848673,4.87862647620085,-116.729287182327,29.6365960687048,-79.000579088775,89.5075014009558,-15578.743618563,-199263.978582397,237010.978068203,-2544.79097651683,273.437418628855,-2.94492002981062,-0.489000000450761,0.489502854726212,-7.36230007452654,0.659229208924949,171904.842335095,181412.090819014,160535.64141994,138366.083456844,-175.923576808891,-2.56461450485044,
