step,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,0,122,7959.5616875338,-95.5324335313981,9530.95109729694,48.5488199808186,9.79902483614381,40,-20,0,0,-12.8694160161137,0,0.250632798368107,
2,5,121.522144691919,7960.00141231669,-95.6093266455105,9530.95121497362,48.8646059918062,9.56619123508648,40,-20,0,0,-12.8154759893726,0,0.254424411318437,
3,10,121.043914150336,7960.43948746422,-95.6825193154841,9492.90689735105,49.1800452318253,9.33063507849033,40,-20,0,0,-12.8391459233359,0,0.255850057592065,
4,15,120.565326957366,7960.87577152782,-95.7519786069565,9454.86322897577,49.495122945157,9.09229929618067,40,-20,0,0,-12.863287905503,0,0.257398638050047,
5,20,120.086401879326,7961.31010261452,-95.8176631833167,9416.82101583441,49.809834671315,8.85111398995537,40,-20,0,0,-12.8879029748222,0,0.259077989635503,
6,25,119.607157898394,7961.74230054892,-95.8795269303114,9378.77964329957,50.124164036172,8.60701437080559,40,-20,0,0,-12.9130217790572,0,0.260905810016005,
7,30,119.127614264997,7962.17215029662,-95.9375083612008,9340.73981203901,50.4381051540537,8.35993561368798,40,-20,0,0,-12.9386241132824,0,0.262906122058813,
8,35,118.647790565469,7962.59941103615,-95.9915360658292,9302.70137993486,50.7516447232425,8.10980440643493,40,-20,0,0,-12.9647172310952,0,0.265087274501915,
9,40,118.167706762541,7963.02381949299,-96.0415305314077,9264.66451223571,51.0647737110239,7.85655038773893,40,-20,0,0,-12.9913088175527,0,0.267457150277419,
10,45,117.687383242254,7963.44509117152,-96.087401552074,9226.62920750619,51.3774779698663,7.60010353387685,40,-20,0,0,-13.0184192640973,0,0.270022309510843,
11,50,117.206840858907,7963.86292003645,-96.1290523681773,9188.59597627311,51.6897488618138,7.34038272861716,40,-20,0,0,-13.0460402700459,0,0.272787880822249,
12,55,116.726100976733,7964.27697611723,-96.1663751027854,9150.56442627982,52.0015706453668,7.07731320709388,40,-20,0,0,-13.0741800063752,0,0.275758044526529,
13,60,116.245185532733,7964.68690892588,-96.1992484265243,9112.53511943226,52.3129296500927,6.81081406042972,40,-20,0,0,-13.1028340671646,0,0.278935112566479,
14,65,115.764117090636,7965.09234351262,-96.2275433851737,9074.50823253327,52.6238152624866,6.54080277924078,40,-20,0,0,-13.1320169177201,0,0.282319310426636,
15,70,115.282918890565,7965.49288008917,-96.2511184193368,9036.48368614873,52.9342138896937,6.26719417814422,40,-20,0,0,-13.1617295963738,0,0.285909541767799,
16,75,114.801614907632,7965.88809814955,-96.26981981681,8998.46160408139,53.2441065380749,5.98990346852941,40,-20,0,0,-13.1919798665901,0,0.289702085791377,
17,80,114.320229926134,7966.2775491697,-96.2834774754642,8960.44264884837,53.5534870621753,5.70883872769986,40,-20,0,0,-13.2227715936625,0,0.293697479230529,
18,85,113.838789616393,7966.66074156688,-96.2919049306211,8922.42617754039,53.8623332569275,5.4239074992683,40,-20,0,0,-13.2541141578444,0,0.297902586903115,
19,90,113.357320658082,7967.03713452681,-96.2948851923884,8884.41293076164,54.1706337062894,5.13501680457881,40,-20,0,0,-13.286008455857,0,0.302324970675246,
20,95,112.875850873274,7967.40613621703,-96.2921777364113,8846.40281605905,54.4783683349903,4.842068296646,40,-20,0,0,-13.318462741615,0,0.306964258192406,
21,100,112.394409354864,7967.76710867723,-96.2835151924728,8808.39629600142,54.7855273060906,4.54496341164349,40,-20,0,0,-13.3514815351792,0,0.31182006872117,
22,105,111.913026605649,7968.11936334584,-96.2686011318169,8770.39307372786,55.0920851486244,4.24359409631916,40,-20,0,0,-13.3850723604787,0,0.31688654593713,
23,110,111.431734661636,7968.46217959813,-96.247118236719,8732.39379299734,55.3980283726973,3.9378597659545,40,-20,0,0,-13.419239071702,0,0.322155382052459,
24,115,110.95056721682,7968.79479041136,-96.2187217214737,8694.39854116153,55.7033397520192,3.62764722720283,40,-20,0,0,-13.4539881653914,0,0.327613785223143,
25,120,110.46955974087,7969.11640153494,-96.1830458647387,8656.40724941572,56.007996005254,3.31284298738717,40,-20,0,0,-13.48932837385,0,0.333246774398649,
26,125,109.988749587154,7969.42619312575,-96.1397045849385,8618.42041453863,56.3119802735544,2.99333498550197,40,-20,0,0,-13.5252630043529,0,0.339034380177612,
27,130,109.508176072352,7969.72332674068,-96.0882972179043,8580.43817629408,56.6152708367042,2.66900020710494,40,-20,0,0,-13.5617981648652,0,0.344960565777313,
28,135,109.02788057947,7970.0069192163,-96.0283921244049,8542.46068450021,56.9178476999278,2.33971973248197,40,-20,0,0,-13.5989405220897,0,0.351032742265854,
29,140,108.547906782704,7970.27600180111,-95.9595015986783,8504.48822972838,57.2196881996579,2.00536362130384,40,-20,0,0,-13.6366977423248,0,0.35726295666184,
30,145,108.068300946645,7970.52951573691,-95.8810776907276,8466.52093943137,57.5207705470064,1.66580458259546,40,-20,0,0,-13.6750753926569,0,0.363658698299449,
31,150,107.589112216981,7970.76631441618,-95.7925156908632,8428.55909148473,57.8210680461733,1.32090622260466,40,-20,0,0,-13.7140792781613,0,0.370224947095491,
32,155,107.110392929447,7970.9851711489,-95.6931442042132,8390.60306010583,58.1205622167887,0.970533461562809,40,-20,0,0,-13.7537161379937,0,0.37696109600416,
33,160,106.632198912194,7971.18477493779,-95.5822369789125,8352.65275007597,58.4192203156079,0.614543320490668,40,-20,0,0,-13.793994376372,0,0.383868413587944,
34,165,106.154589784968,7971.36374573547,-95.4590053646202,8314.70893750363,58.7170229308514,0.252788676796229,40,-20,0,0,-13.8349164932772,0,0.390939443444123,
35,170,105.677629252149,7971.52062485226,-95.3226018229766,8276.77131351638,59.0139368423305,-0.114879033498937,40,-20,0,0,-13.8764912803929,0,0.398167874487236,
36,175,105.201385427485,7971.65389187478,-95.1721118670525,8238.84067527198,59.3099405817044,-0.488612465119672,40,-20,0,0,-13.9187235484144,0,0.405545928244052,
37,180,104.725931120592,7971.76195953917,-95.0065734496657,8200.9168738261,59.6049998282912,-0.868573853650332,40,-20,0,0,-13.9616231714347,0,0.413058391783719,
38,185,104.251344072744,7971.84319651511,-94.8249698691507,8163.00044338354,59.8990868249833,-1.25492346687787,40,-20,0,0,-14.0051935318551,0,0.420694926991643,
39,190,103.777707334894,7971.89583738813,-94.6261792890477,8125.09162804778,60.192167329883,-1.64783151235349,40,-20,0,0,-14.0494396589426,0,0.428475691606268,
40,195,103.305109953548,7971.91791347747,-94.4089214463961,8087.19085763406,60.4842113403702,-2.04746970423156,40,-20,0,0,-14.0943739164983,0,0.436422480957854,
41,200,102.833647766434,7971.90725437203,-94.1717609887523,8049.29830955398,60.7751863319104,-2.45401499108414,40,-20,0,0,-14.1400000491038,0,0.444535681859243,
42,205,102.363424203646,7971.86149507137,-93.9130967443052,8011.41425551917,61.0650542850175,-2.86765028481295,40,-20,0,0,-14.1863231082318,0,0.452813315652336,
43,210,101.894551077923,7971.77807132855,-93.6311744499458,7973.53924167819,61.3537800558793,-3.28856290647076,40,-20,0,0,-14.2333682621356,0,0.461244320762695,
44,215,101.427149391776,7971.65422380924,-93.3240740633119,7935.67354827137,61.641323195841,-3.71694587681372,40,-20,0,0,-14.2811176108666,0,0.469807429333749,
45,220,100.96135013205,7971.48699036229,-92.9897213805652,7897.8177236643,61.9276501312193,-4.15299570116878,40,-20,0,0,-14.3295617330994,0,0.478472570180979,
46,225,100.497295056493,7971.27319769743,-92.6258807819354,7859.9718149951,62.2127176024488,-4.59691595835596,40,-20,0,0,-14.3787079171383,0,0.487202099471247,
47,230,100.035137504393,7971.00944616203,-92.2301569255219,7822.13638910372,62.4964793080824,-5.04891501142384,40,-20,0,0,-14.4285908045861,0,0.495952206415749,
48,235,99.575043148662,7970.69214528509,-91.8000335701618,7784.31214556114,62.7788971406749,-5.50920585461705,40,-20,0,0,-14.4792138179306,0,0.50465236212612,
49,240,99.117190349631,7970.31755964689,-91.3329238629062,7746.49915559591,63.0599236159949,-5.97800753446001,40,-20,0,0,-14.5305783566871,0,0.513251424993355,
50,245,98.6617709533405,7969.88157793775,-90.8259934453317,7708.69801181316,63.3395115993319,-6.45554343031802,40,-20,0,0,-14.5827088730001,0,0.521722389955588,
51,250,98.2089917195207,7969.37960903188,-90.2761157395889,7670.90922428263,63.6176103668932,-6.94204354810404,40,-20,0,0,-14.6355395539153,0,0.530021776193848,
52,255,97.7590757244807,7968.80661494448,-89.6798966136948,7633.13338986696,63.8941694539502,-7.43774262852526,40,-20,0,0,-14.6891252494639,0,0.538103967568783,
53,260,97.3122636311594,7968.15712802027,-89.0337003422469,7595.3710083496,64.1691346536028,-7.94288103289387,40,-20,0,0,-14.7434687669197,0,0.545921544353008,
54,265,96.868814808622,7967.42529296485,-88.3336882391036,7557.62270544015,64.4424558124283,-8.45770226071096,40,-20,0,0,-14.7985579171226,0,0.553431140052555,
55,270,96.4290082294904,7966.60495436998,-87.5758654324759,7519.88882561364,64.7140728899572,-8.98245810822709,40,-20,0,0,-14.8543905089876,0,0.560627786962382,
56,275,95.9931431699898,7965.68976602714,-86.7561143288176,7482.17011358018,64.9839221571682,-9.5174026196525,40,-20,0,0,-14.9110223757467,0,0.567532389308139,
57,280,95.5615396917378,7964.67340514388,-85.8702474101842,7444.46753234137,65.2519493386048,-10.0627956711664,40,-20,0,0,-14.9683519535893,0,0.574233674203208,
58,285,95.1345388602167,7963.54987145297,-84.9140602115212,7406.78130783271,65.5180846872892,-10.6189013467213,40,-20,0,0,-15.0264835475836,0,0.580900664360628,
59,290,94.7125027225008,7962.3134445948,-83.8833820437985,7369.11252062708,65.7822637491131,-11.185988414778,40,-20,0,0,-15.085381994507,0,0.58755252305316,
60,295,94.2958139043683,7960.95853324024,-82.7741231859295,7331.46179522929,66.0444179435869,-11.7643290775717,40,-20,0,0,-15.1450445256358,0,0.594172773925187,
61,300,93.8848756819181,7959.47943488839,-81.5820766911811,7293.82991352311,66.3044766289547,-12.354199627895,40,-20,0,0,-15.2054585068284,0,0.600795176425885,
62,305,93.4801128059719,7957.87028814105,-80.3028790090252,7256.21764762593,66.56236485345,-12.9558798486204,40,-20,0,0,-15.266674076036,0,0.607397328034374,
63,310,93.0819720548363,7956.12517454611,-78.932104892865,7218.62589277088,66.8180088222086,-13.5696517668649,40,-20,0,0,-15.3286331403462,0,0.613952212044461,
64,315,92.6909221824426,7954.23813949255,-77.4654165638876,7181.05538608769,67.071324988329,-14.1957996267038,40,-20,0,0,-15.3913757418673,0,0.620415440766571,
65,320,92.3074532392668,7952.20339999185,-75.8986305104909,7143.50729078565,67.3222359424318,-14.8346103857945,40,-20,0,0,-15.4548935485951,0,0.626847991362387,
