step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
23,44,112.785065835936,7936.62730656773,-201.164972121466,7724.22568122414,-13.6874816598135,64.1938408748279,-4.00681384249941,40,0,0,0,0.29445435427345,0.090146441021694,0,0,1,
24,46,112.383213991381,7937.05098189492,-200.686466419333,7708.86788436454,-13.7090302173001,64.3064658721829,-4.20746543663176,40,0,0,0,0.298354670460845,0.0949401267785404,0,0,1,
25,48,111.98232166405,7937.47053352025,-200.205437507532,7693.51046295205,-13.7306929442191,64.4188530655489,-4.40971589367319,40,0,0,0,0.302395722804611,0.100027704701164,0,0,1,
26,50,111.582394000048,7937.88577225289,-199.721784560855,7678.15299500074,-13.7524829869201,64.5309955224258,-4.61358221366407,40,0,0,0,0.306572913138532,0.105422014106395,0,0,1,
27,52,111.18343635433,7938.29650092653,-199.235399374236,7662.79576495514,-13.7743932626951,64.64288851739,-4.81908255796662,40,0,0,0,0.310879017733357,0.111133511453455,0,0,1,
28,54,110.785454305645,7938.70251624204,-198.746166974787,7647.43886331967,-13.7964244276964,64.7545307577171,-5.02623580039693,40,0,0,0,0.315307138440396,0.11717388528074,0,0,1,
29,56,110.388453666192,7939.10360939224,-198.253968696421,7632.08212473728,-13.8185575329073,64.8659173770242,-5.23505953224583,40,0,0,0,0.319845970196463,0.123548167386535,0,0,1,
30,58,109.992440491167,7939.49956723266,-197.758680425427,7616.72567794671,-13.8408384657693,64.9770432734201,-5.44557247379225,40,0,0,0,0.324485710697396,0.130261543515802,0,0,1,
31,60,109.597421088154,7939.8901748145,-197.260173603138,7601.36962664861,-13.8633144481114,65.0879052774352,-5.65779306654014,40,0,0,0,0.329214127029376,0.13731602975717,0,0,1,
32,62,109.203402026861,7940.27521240336,-196.758314171225,7586.01395831336,-13.8858542299734,65.1985001819097,-5.87174059666665,40,0,0,0,0.334029951361219,0.144727241644261,0,0,1,
33,64,108.810390154924,7940.65444706269,-196.252957295353,7570.65863513328,-13.9084667432682,65.3088265204617,-6.08743292239541,40,0,0,0,0.338940101843249,0.152524706134419,0,0,1,
34,66,108.41839262449,7941.02762444451,-195.743943287,7555.30356251585,-13.9312930699347,65.4188791160841,-6.30489006469526,40,0,0,0,0.343949349317228,0.160738277583477,0,0,1,
35,68,108.027416920441,7941.39447362361,-195.231099011023,7539.9488134967,-13.9542002340903,65.5286486929412,-6.52413094796418,40,0,0,0,0.349061428268157,0.169395815716883,0,0,1,
36,70,107.63747088826,7941.7547062952,-194.714236801684,7524.59477018577,-13.9772882668024,65.6381374806396,-6.7451755651025,40,0,0,0,0.354278595814094,0.178523620353993,0,0,1,
37,72,107.248562764408,7942.10801819107,-194.193153827254,7509.2410263178,-14.0004806984293,65.7473342728339,-6.968044434955,40,0,0,0,0.359600806349901,0.188147126376383,0,0,1,
38,74,106.860701203446,7942.45408917903,-193.667634697009,7493.88803197353,-14.023804472483,65.8562433101821,-7.19275502161315,40,0,0,0,0.365027510987217,0.198290196141617,0,0,1,
39,76,106.473895305383,7942.79258553726,-193.137448788094,7478.53535554606,-14.0472787542884,65.964854903949,-7.41932863452564,40,0,0,0,0.370556709072899,0.208975227573826,0,0,1,
40,78,106.088154647302,7943.12315857009,-192.602350162186,7463.1833228867,-14.0708883514151,66.073167352393,-7.64778575016953,40,0,0,0,0.376184934252326,0.220224344843424,0,0,1,
41,80,105.703489310368,7943.44544713136,-192.06208065439,7447.8317804858,-14.0946436455117,66.1811730466646,-7.87814636994585,40,0,0,0,0.381909919812804,0.232054167089011,0,0,1,
42,82,105.319909906716,7943.75907738312,-191.516367474672,7432.4809703025,-14.1185241830313,66.2888699225072,-8.11043074209613,40,0,0,0,0.387725475773581,0.244486950313082,0,0,1,
43,84,104.937427606429,7944.06366361391,-190.964925486009,7417.13077587378,-14.1425477722071,66.3962522816674,-8.34465963893967,40,0,0,0,0.393627146823926,0.25753831907922,0,0,1,
44,86,104.55605416709,7944.35881146215,-190.407453093743,7401.78129294236,-14.1667203064219,66.5033141215193,-8.58085400853389,40,0,0,0,0.399603863695023,0.271216606772014,0,0,1,
45,88,104.175801953548,7944.64412026299,-189.843643067052,7386.43262988367,-14.1910474839275,66.6100531474635,-8.8190345849352,40,0,0,0,0.405653100276719,0.285542116976935,0,0,1,
46,90,103.796683972022,7944.91916138325,-189.273158254441,7371.08467491764,-14.2155091520523,66.7164652185442,-9.0592223661846,40,0,0,0,0.411786290382436,0.300581669430283,0,0,1,
47,92,103.418713935979,7945.18346331369,-188.695628898098,7355.73742452128,-14.2401192742048,66.8225443840557,-9.30143879067583,40,0,0,0,0.418013917298882,0.316397691309721,0,0,1,
48,94,103.041906336994,7945.43651648649,-188.110646034421,7340.39097125966,-14.2648782606927,66.9282843469258,-9.54570496411657,40,0,0,0,0.42433937347318,0.33305318658587,0,0,1,
49,96,102.666276518924,7945.67777225165,-187.517766440449,7325.04544042039,-14.289782493541,67.033676696965,-9.79204259246688,40,0,0,0,0.430765140340942,0.350608530844484,0,0,1,
50,98,102.291840747728,7945.90664451547,-186.91651131541,7309.70106074442,-14.3148306293989,67.1387251695027,-10.040472906662,40,0,0,0,0.437288788459049,0.369122928914564,0,0,1,
51,100,101.918616283105,7946.122508922,-186.306365789836,7294.35735153167,-14.340035642096,67.2434168013541,-10.2910178788583,40,0,0,0,0.443903727127932,0.388658254013058,0,0,1,
52,102,101.546621450917,7946.32470349758,-185.686777371831,7279.01480612199,-14.3653971983408,67.3477497159313,-10.5436992029767,40,0,0,0,0.450601574107263,0.409273095337126,0,0,1,
53,104,101.175875718574,7946.51253010676,-185.057158951482,7263.67326561391,-14.390913280634,67.4517186103495,-10.798538739991,40,0,0,0,0.457365194136323,0.431039575190662,0,0,1,
54,106,100.80639976493,7946.68524712658,-184.416884747438,7248.33277030296,-14.4165791587901,67.5553153654667,-11.0555585139783,40,0,0,0,0.464192700534324,0.453992978501171,0,0,1,
55,108,100.438215557327,7946.84207263879,-183.765292567017,7232.99351742683,-14.4424048998886,67.6585385758581,-11.314780516363,40,0,0,0,0.471050844017354,0.478229475121179,0,0,1,
56,110,100.071346426318,7946.98218158833,-183.10168043159,7217.65531530379,-14.4683920797262,67.7613779486063,-11.5762270532601,40,0,0,0,0.477923827726316,0.503811877390319,0,0,1,
57,112,99.7058171444749,7947.10470203523,-182.425310399489,7202.31847349357,-14.4945359968883,67.8638318918197,-11.8399200686685,40,0,0,0,0.484783972355145,0.530803951502986,0,0,1,
58,114,99.3416539810263,7947.20874402966,-181.73542806688,7186.98281395822,-14.5208423880244,67.9658920308063,-12.1058819925726,40,0,0,0,0.491589558425284,0.559218202186758,0,0,1,
59,116,98.9788847350078,7947.29336574856,-181.03124761602,7171.64852745031,-14.5473105059337,68.0675508245335,-12.3741350089929,40,0,0,0,0.498326024510163,0.589187739487965,0,0,1,
60,118,98.6175388452774,7947.35753955601,-180.311913556794,7156.31576119708,-14.5739428872071,68.1688088351059,-12.6447015534316,40,0,0,0,0.504979338377285,0.620869867341248,0,0,1,
61,120,98.2576475339774,7947.40013600172,-179.576498379287,7140.98420147676,-14.6007463484035,68.2696517365293,-12.9176041760749,40,0,0,0,0.511531042172389,0.654420862730974,0,0,1,
62,122,97.8992439506808,7947.41992972035,-178.824002743068,7125.65435482428,-14.6277126645397,68.3700791202506,-13.1928647976225,40,0,0,0,0.517958908586996,0.689996285837248,0,0,1,
63,124,97.5423633089503,7947.41559895605,-178.053362140824,7110.3259776496,-14.6548543125298,68.4700818420266,-13.4705058101785,40,0,0,0,0.52424089114697,0.727743102591239,0,0,1,
64,126,97.1870430160314,7947.38573310569,-177.263447822321,7094.99928702079,-14.682167802272,68.5696527600376,-13.7505497481697,40,0,0,0,0.53035647306805,0.767807248370323,0,0,1,
65,128,96.8333227996733,7947.3288283819,-176.453070135502,7079.67437951469,-14.7096558147187,68.6687915780931,-14.0330192321196,40,0,0,0,0.536292560239479,0.810315680638626,0,0,1,
66,130,96.481244821257,7947.24331520254,-175.620985051775,7064.35098185968,-14.7373133445262,68.7674832037852,-14.3179356724242,40,0,0,0,0.542046216709038,0.855373626037558,0,0,1,
67,132,96.1308537810724,7947.12755992988,-174.765897821422,7049.02964608438,-14.7651706453685,68.8657234879329,-14.6053211701883,40,0,0,0,0.547630273960314,0.903055866336465,0,0,1,
68,134,95.7821970182499,7946.97989790603,-173.886465564184,7033.71031095153,-14.7932039221072,68.9635070409529,-14.895198733891,40,0,0,0,0.553080442121124,0.953383316957845,0,0,1,
69,136,95.435324598277,7946.79867545305,-172.98130607229,7018.39294661394,-14.8214052392028,69.0608290573425,-15.1875900581639,40,0,0,0,0.558483298811357,1.00626704137756,0,0,1,
70,138,95.0902893896308,7946.58230962005,-172.048999213271,7003.07753740489,-14.8498074351388,69.1576798736385,-15.4825163056574,40,0,0,0,0.56390594763837,1.06161760148846,0,0,1,
71,140,94.7471471315958,7946.32922163426,-171.088095972464,6987.76432906175,-14.8784095944608,69.2540497335729,-15.779999652116,40,0,0,0,0.569343020416624,1.11944504173868,0,0,1,
72,142,94.4059564800216,7946.03784372694,-170.097129809544,6972.453524074,-14.9071811748236,69.3499356208483,-16.0800611919808,40,0,0,0,0.574787241943295,1.17974110434236,0,0,1,
73,144,94.066779061174,7945.70656414786,-169.074584217122,6957.14501811317,-14.9361604342542,69.4453281209701,-16.3827231380725,40,0,0,0,0.580247115751475,1.24262246658224,0,0,1,
74,146,93.7296796331005,7945.33368348658,-168.018842137921,6941.83898055063,-14.965339997749,69.5402219495953,-16.6880061457797,40,0,0,0,0.585727539679407,1.30823604023207,0,0,1,
75,148,93.3947262850124,7944.91742093735,-166.928191558445,6926.53542357473,-14.9947226179188,69.6346091217836,-16.9959313945096,40,0,0,0,0.591233929711367,1.37669321228097,0,0,1,
76,150,93.0619906145074,7944.45592669432,-165.800836772811,6911.23446540626,-15.0243155087127,69.7284769294516,-17.3065179849027,40,0,0,0,0.596767451765049,1.44809115162266,0,0,1,
77,152,92.7315478901248,7943.94728831908,-164.634908855137,6895.93650903969,-15.0541058354931,69.8218249388573,-17.6197898359025,40,0,0,0,0.602285847445695,1.52257586222305,0,0,1,
78,154,92.403477156614,7943.38948229198,-163.428498602231,6880.64119601937,-15.0841234678679,69.9146397835756,-17.9357635162733,40,0,0,0,0.607789062674758,1.60020384234943,0,0,1,
79,156,92.0778613475747,7942.78051867467,-162.179626343217,6865.34902494222,-15.1143391520521,70.0069152043695,-18.254460958102,40,0,0,0,0.613317380387703,1.68093792637435,0,0,1,
80,158,91.754787405882,7942.11839569511,-160.886266333493,6850.05996035737,-15.1447613225561,70.0986444039944,-18.5759015302905,40,0,0,0,0.61886744940952,1.76478425318907,0,0,1,
81,160,91.4343463541959,7941.40111099876,-159.546367395349,6834.77407182847,-15.175391801782,70.189819392236,-18.9001024154081,40,0,0,0,0.624433728789722,1.85173982843145,0,0,1,
82,162,91.1166333380528,7940.62666391057,-158.157859848114,6819.49154724039,-15.2062342085919,70.2804300301385,-19.2270855573231,40,0,0,0,0.630011391142652,1.94176618007285,0,0,1,
83,164,90.8017476444608,7939.79307672788,-156.718673332065,6804.21249036089,-15.2373071741141,70.3704687962638,-19.5568667377258,40,0,0,0,0.635593251703866,2.03482351587033,0,0,1,
84,166,90.4897927132985,7938.89836411976,-155.226712909288,6788.93708618366,-15.2686245353103,70.4599249430261,-19.8894645479508,40,0,0,0,0.641180467516426,2.13098565089323,0,0,1,
85,168,90.1808762507252,7937.94049250429,-153.679815082026,6773.66554637801,-15.3001730435319,70.5487956770368,-20.2248974782586,40,0,0,0,0.646768181204604,2.2302602975018,0,0,1,
86,170,89.8751102901651,7936.91745232552,-152.07582479066,6758.3977312025,-15.3319578631936,70.6370651624675,-20.5631804852989,38,-120,-180,-101.402572641323,0.652349542614492,2.33257290678493,5.94762120586992,-371.20658646289,2,
