mode,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,84896.1030984589,128.30148359511,7966.04249156216,-127.502428827966,8263.08105892598,60.8434273039678,3.728360527922,25.7125114068537,-7.86740393051157,0,76.8941257471815,-11.2640558517395,3.06082684396137,1.0213804651161,
1,84898.4830984594,127.998817306454,7966.38519869432,-127.48787097821,8245.93649361742,60.9826923124218,3.53830739392717,35.4061164995526,-0.981091349907835,0,-1867.84349776008,-11.2886477545173,51.3415890683416,0.975940684729035,
1,84901.6030984601,127.60137708881,7966.80910290066,-127.401588894513,8221.44446791463,61.1649088630251,3.28673195698856,38.4916478713048,0.633127851302792,0,227.38563115035,-11.3246612049334,54.7205462480163,1.1495676204071,
1,84904.7430984607,127.201563492621,7967.19595342082,-127.266023148239,8196.95284087374,61.3490498594157,3.02907937746482,38.65221330401,0.564924349695665,0,-67.5312446903908,-11.3611420226604,54.0353744041328,0.98624455665433,
1,84907.9830984614,126.789432180629,7967.5942437596,-127.123859315704,8172.4616331543,61.5362521763126,2.76353118565562,38.2963596862493,0.271077473090885,0,55.3533982172166,-11.3979124493234,54.4819835911528,0.987613980167453,
1,84911.183098462,126.382847732863,7967.98968848135,-126.98488409331,8147.97086824318,61.7218475832554,2.49657618129727,38.0443919700852,0.113678072339741,0,3.36270483044245,-11.4349669532292,54.4537212859341,0.987832773854793,
1,84914.3830984627,125.976726852159,7968.38580108265,-126.845604989254,8123.48057108178,61.9069907877423,2.22652084649718,38.0686289948499,0.0404607703914099,0,-3.16384768007447,-11.4722768249724,54.4286195568763,0.990039299085585,
1,84917.5830984633,125.57106163444,7968.77772366549,-126.699891176751,8098.99078810815,62.0916720047005,1.9515931091293,38.0810557931399,0.0393984685431888,0,-7.99790975875203,-11.5098306955815,54.3761001651259,0.985927679395669,
1,84920.783098464,125.165854040136,7969.17345021663,-126.558107167373,8074.50155934719,62.2758813179229,1.675152518746,38.0687853813076,0.00635567108402096,0,3.92028383213801,-11.5476888234176,54.4107951746079,0.987909841706747,
1,84924.0030984646,124.758580179191,7969.56752405549,-126.409103341212,8050.01291676012,62.4607553544397,1.3954449075101,38.0624273953521,-0.0165316114190276,0,2.38596573036375,-11.5858464368878,54.42367254577,0.985846109651612,
1,84927.1830984653,124.356835771276,7969.95772302523,-126.262331564124,8025.52490662574,62.6439870300477,1.11241278051382,38.051565004086,0.00878173288880611,0,5.13846952531003,-11.624254618245,54.4570838352291,0.987944398365748,
1,84930.3830984659,123.953046794469,7970.3482727924,-126.11100709072,8001.03756973661,62.8255749202132,0.82599746432995,38.0407402534721,0.0203157271164444,0,4.78783747369107,-11.662938481804,54.4854821425229,0.985737377549191,
1,84933.5830984666,123.549737466265,7970.74036377314,-125.960756741905,7976.5509411699,63.0089296137046,0.53613931112195,38.0332901048533,0.00596364527085885,0,5.25253603333658,-11.7019247855653,54.5174330136225,0.985766275434341,
1,84936.8030984672,123.144401978957,7971.13087005301,-125.803447982958,7952.06506638281,63.1906184683065,0.242777642183493,38.0278706871849,-0.0195520230277492,0,-4.7123246851952,-11.7412085284597,54.4798170085896,0.990084126759778,
1,84940.0030984679,122.742087059013,7971.5178309563,-125.644812147441,7927.57998742027,63.3717704374263,-0.0541493358983987,38.0242122789363,0.0196941804661127,0,7.43018755629055,-11.7807451119148,54.5357817391514,0.991613693016774,
1,84943.1830984685,122.342795719227,7971.90245516737,-125.486478438949,7903.09575150923,63.5523736857133,-0.35470459848002,38.0189046999599,0.0172538245527387,0,1.67213689833261,-11.820584371662,54.5404163880507,0.990534174620883,
1,84946.4030984692,121.938992277068,7972.29269797844,-125.326331062667,7878.61239380503,63.7324162719178,-0.658952123301113,38.0175370735219,-0.00325557954491705,0,5.37464522646223,-11.8607196043576,54.5761353609664,0.990892727299191,
1,84949.6030984698,121.538219846677,7972.67572085207,-125.16018945295,7854.12996243861,63.9118858310556,-0.966957043050805,38.0182711118364,-0.0131767716110255,0,-1.55663987862863,-11.9011584952417,54.5602974419099,0.990447449598142,
1,84952.7830984705,121.140479414322,7973.05479718353,-124.992361104038,7829.64850684026,64.0907696649512,-1.2787855889424,38.0169129148471,0.026289096608782,0,11.8356263929563,-11.9418541302378,54.6438664498947,0.991564358203898,
1,84956.0030984711,120.738283705999,7973.43966680699,-124.823105872511,7805.16807145458,64.2690547604157,-1.59450517415522,38.0138393528636,0.017686304014205,0,-1.89033701742483,-11.9828720768383,54.6196563370955,0.990105293370642,
1,84959.2030984718,120.339126156145,7973.82061418004,-124.652285522886,7780.68869493889,64.4467279445854,-1.91418433958108,38.0164490409566,-0.0197051156214321,0,11.2549648451386,-12.0241974694667,54.69950984666,0.991090350091557,
1,84962.4030984725,119.940526483366,7974.19841949255,-124.476880136306,7756.21043295163,64.6237755249363,-2.23789260002198,38.015944268168,-0.00117612766429216,0,-16.548628447631,-12.0658206400889,54.5741522072676,0.98809033321428,
1,84965.6030984731,119.542491608768,7974.57493245031,-124.299341989959,7731.73333158926,64.8001835498333,-2.56570089699063,38.0135671273061,0.0235064025519443,0,-1.27751408987842,-12.1077121748173,54.5808037924358,0.989713085077098,
1,84968.8030984738,119.145020874834,7974.95295149966,-124.123361712748,7707.25743332695,64.9759377773899,-2.89768118046937,38.0142866063325,0.00839268224129694,0,2.09908434376212,-12.1499371275402,54.5965638595292,0.989989943297301,
