iphase,time,alt,speed,mach,hdot,lat,long,psd,x,y,rpred,herror,psha,dpsac,nzc,nztotal,phic_at,dsbc_at,eow,es,en,emep,hdref,dnzc,
1,1183001.40636785,44211.2459109882,1600.42272151194,4.91486947855828,-114.221279163948,29.6648305679984,-78.9450410308098,-90.3553487492688,20192.0707413283,205485.062815829,244273.936664761,-2196.18772511137,263.560081596391,-6.0845696543405,-0.0270000000204891,0.95774914286732,-15.2114241358512,1,174804.100506772,187128.090075215,165692.342023497,142793.219869376,-177.619498194003,-1.90871833051888,
1,1183001.64636785,44186.0522688739,1599.83184063926,4.91357194188489,-114.80560469577,29.6631060419835,-78.9484405432194,-90.3563450591066,20184.7621706764,205136.432868065,243926.886261814,-2209.6092013616,263.553561211076,-6.09009372981714,-0.0490000000409782,0.935714954978744,-15.2252343245429,1,174682.494118062,186854.958978743,165445.936237404,142581.67529626,-177.548919039055,-1.90499401348146,
1,1183001.84636785,44160.7329795938,1599.23456167608,4.91224077908246,-115.377730059239,29.6616694656161,-78.9512722713677,-90.357656224729,20177.4596919235,204787.941232809,243580.062089128,-2222.87985857405,263.544884417372,-6.09745935789896,-0.0710000000614672,0.913788735282116,-15.2436483947474,1,174559.75430247,186582.00592707,165199.691074798,142370.268621799,-177.477696796294,-1.90137352286575,
1,1183002.08636785,44135.2861593766,1598.64084139484,4.91091529508514,-115.947327498847,29.6599461843191,-78.9546689113017,-90.3599148895234,20170.1629754647,204439.586940595,243233.339222671,-2236.01171284984,263.536172969273,-6.10391214120327,-0.0930000000819563,0.891701472382069,-15.2597803530082,1,174437.503455911,186309.132604108,164953.517839613,142158.92369855,-177.406865475659,-1.89773464776945,
1,1183002.32636785,44107.3792587454,1597.98067783098,4.90933926044169,-116.548351614783,29.6582235366761,-78.9580639361531,-90.3625639467257,20162.2046084173,204059.721562156,242855.249947292,-2250.17352038645,263.526644292839,-6.11079176043533,-0.119000000106171,0.865271941576291,-15.2769794010883,1,174302.001387368,186011.57369776,164685.074454094,141928.459380743,-177.328339493843,-1.89397437395343,
1,1183002.56636785,44079.3288938599,1597.29191106642,4.90794374161477,-117.092203564631,29.6565014947416,-78.9614572645784,-90.366027115096,20154.2423448244,203680.024230027,242477.294117353,-2264.1770156484,263.517084231398,-6.11688865350582,-0.14100000012666,0.842905373563025,-15.2922216337646,1,174161.741401727,185714.119813908,164416.725814838,141698.076404604,-177.247060460112,-1.89094741333905,
1,1183002.80636785,44051.149633863,1596.57341340907,4.90619926823454,-117.589205885566,29.6547800298918,-78.9648487928923,-90.3707212611783,20146.2682055605,203300.501978433,242099.45805857,-2278.03828926973,263.507498232613,-6.12178050620825,-0.167000000150874,0.817297483693909,-15.3044512655206,1,174016.560500486,185416.760190793,164148.462213101,141467.766434973,-177.162824599049,-1.88850548452039,
1,1183003.04636785,44022.8568774071,1595.81609228882,4.90463591856361,-118.006621634381,29.6530591007339,-78.9682384032831,-90.3775321445566,20138.2748224785,202921.161915241,241721.706005515,-2291.77671940027,263.497888427889,-6.12457942755402,-0.189000000171363,0.796648255560135,-15.3114485688851,1,173865.000995305,185119.466680774,163880.258255432,141237.507671033,-177.074892709844,-1.88712957796893,
1,1183003.28636785,43994.4735322734,1595.00595993776,4.90262747941047,-118.33892551356,29.6513386349098,-78.9716259150489,-90.3864430724316,20124.8079522071,202542.554651832,241343.896463736,-2305.43095742796,263.48975841526,-6.12379851230799,-0.215000000195578,0.772999920482718,-15.30949628077,1,173704.819729632,184822.127926727,163612.013480769,141007.213864841,-176.981757491832,-1.88689613372384,
1,1183003.52636785,43966.0208159592,1594.14034844462,4.90077609604512,-118.584723869343,29.6496185560122,-78.9750111297765,-90.3976368269699,20122.1723675571,202163.070524767,240966.47625839,-2318.97250413385,263.478620325234,-6.12374284779625,-0.237000000216067,0.753852982946597,-15.3093571194906,1,173535.617320385,184525.095583179,163344.045134974,140777.157378673,-176.883139541052,-1.88780897963809,
1,1183003.76636785,43937.521966354,1593.21883091215,4.89840777250002,-118.735213006368,29.647898815902,-78.9783938756188,-90.4106690925474,20108.5992831243,201784.885190867,240588.883183476,-2332.48715215786,263.470461909968,-6.11886899748482,-0.263000000240281,0.731535563681369,-15.2971724937121,1,173357.362341376,184227.92719007,163075.954051785,140546.995519859,-176.779069814848,-1.89003654729045,
1,1183004.00636785,43908.9978597695,1592.2415106059,4.89624436078493,-118.814178331285,29.6461793253728,-78.9817739398903,-90.4263822114587,20105.812191394,201405.84639634,240211.683222532,-2345.93280274774,263.45930381549,-6.1143139730512,-0.28500000026077,0.712245590722102,-15.285784932628,1,173170.10819576,183931.068180407,162808.142079514,140317.073283666,-176.669366029389,-1.89320633687005,
1,1183004.24636785,43880.4669399485,1591.21461741355,4.89351473105782,-118.816646486891,29.644460019412,-78.9851511536223,-90.4442100364271,20092.0669754213,201028.133016431,239834.320679626,-2359.38973004328,263.451142711305,-6.10464725226817,-0.311000000284985,0.68916633115009,-15.2616181306704,1,172974.900864309,183634.081217602,162540.214674051,140087.051945637,-176.554766899134,-1.89743823463842,
1,1183004.48636785,43851.9454102637,1590.14587965286,4.89107937997122,-118.756277525173,29.6427408489397,-78.9885253714694,-90.463771528198,20089.0687157301,200649.585837443,239457.416134448,-2372.80508762493,263.439982531639,-6.09624594016351,-0.333000000305474,0.669378625690638,-15.2406148504088,1,172773.025267043,183337.454702216,162272.612446975,139857.309780124,-176.43602213017,-1.90251822870161,
1,1183004.72636785,43823.447235655,1589.03951109741,4.88807219751254,-118.642186232571,29.6410217750847,-78.9918964655105,-90.4848971073831,20075.0970288484,200272.385198047,239080.393758228,-2386.2569109422,263.431835170497,-6.08326772211973,-0.359000000329688,0.645616311635417,-15.2081693052993,1,172565.19183681,183040.735452974,162004.926559859,139627.495790699,-176.31352620231,-1.90835213731734,
1,1183004.96636785,43794.9848651309,1587.89988273538,4.88542634444217,-118.482641990087,29.6393027632463,-78.9952643325133,-90.5072979774281,20071.8473241732,199894.365113942,238703.86711459,-2399.68937986499,263.420685366057,-6.0720166565151,-0.381000000350177,0.62526971372472,-15.1800416412878,1,172352.133512644,182744.406348744,161737.592642876,139397.98397507,-176.187697636152,-1.91479932862615,
1,1183005.20636785,43766.5675104037,1586.73792938297,4.88221038648104,-118.293134566753,29.6375837899995,-78.9986288869171,-90.5306921537912,20057.6122042704,199517.708694588,238327.264974199,-2413.17526485197,263.412563299848,-6.05674454636069,-0.407000000374392,0.601023051610022,-15.1418613659017,1,172135.640375996,182448.017828041,161470.205123198,139168.426140394,-176.059626988138,-1.92167944683248,
1,1183005.44636785,43738.2007295424,1585.56406600019,4.87944247171184,-118.087328314518,29.6358648324251,-79.0019900864034,-90.5548005245035,20054.0844154802,199140.24005551,237951.195595258,-2426.65244514954,263.40143236829,-6.04376710720675,-0.429000000394881,0.580411204283859,-15.1094177680169,1,171917.409834797,182152.048594329,161203.19586415,138939.193050461,-175.930362161362,-1.92877871134685,
