step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,entry_phase,
17,32,118.170085560339,7819.80234778766,-115.979682099823,8331.83126077411,-11.064422697983,60.3283594319198,4.33778378342731,38,0,0,0,0.255035402304165,0.013683196603749,0,1,
18,34,117.938046880062,7820.05552238311,-116.058877635083,8316.5366113128,-11.0793376668243,60.4459789510292,4.18306699920743,38,0,0,0,0.256267869414981,0.014026094616499,0,1,
19,36,117.705850623162,7820.30820075174,-116.137256794883,8301.24226173643,-11.0943378396939,60.5634440316064,4.02727866101321,38,0,0,0,0.257550222012913,0.0143814132998231,0,1,
20,38,117.473498430612,7820.56035526366,-116.214811633388,8285.9482400968,-11.1094242440564,60.6807557562941,3.87040611868923,38,0,0,0,0.258884263664829,0.014749565466714,0,1,
21,40,117.240991962962,7820.81195842346,-116.291530037926,8270.65427046055,-11.1245991305128,60.7979105100471,3.71243769437262,38,0,0,0,0.260270312215704,0.015131045877132,0,1,
22,42,117.008332902758,7821.06298083976,-116.367402142549,8255.36048998938,-11.1398612203791,60.9149049513393,3.5533604826652,38,0,0,0,0.261709651132755,0.0155262525206346,0,1,
23,44,116.775522954382,7821.31339224837,-116.442415939119,8240.06696920312,-11.1552113278955,61.0317334424214,3.39316256471886,38,0,0,0,0.263202061548971,0.0159356917396713,0,1,
24,46,116.54256384619,7821.56316235258,-116.516559675293,8224.77399853508,-11.170647919234,61.1484024590371,3.23183283900283,38,0,0,0,0.264749009949124,0.016359792335562,0,1,
25,48,116.309457330897,7821.8122588466,-116.589820677825,8209.48095241807,-11.1861752691439,61.2649045723792,3.06935805288686,38,0,0,0,0.266350640624601,0.0167990162301766,0,1,
26,50,116.076205186619,7822.06064931428,-116.662186269211,8194.18821781106,-11.2017918366615,61.3812378362734,2.90572800192166,38,0,0,0,0.268007089167888,0.0172538600411893,0,1,
27,52,115.842809217544,7822.30829951681,-116.733642914082,8178.89587010804,-11.2174979948509,61.4974029709365,2.74092788820224,38,0,0,0,0.269718898284941,0.0177247232629724,0,1,
28,54,115.609271256362,7822.55517532671,-116.804175534247,8163.60360616102,-11.2332953417154,61.6133944117253,2.57494406369995,38,0,0,0,0.271486217908517,0.0182121179738601,0,1,
29,56,115.375593164936,7822.80124008395,-116.873770495582,8148.31165868387,-11.2491836850523,61.729208048943,2.407765860128,38,0,0,0,0.273308750017386,0.0187164981116624,0,1,
30,58,115.141776834942,7823.04645836534,-116.942411261453,8133.02026162874,-11.2651623745911,61.844846568666,2.23937799899528,38,0,0,0,0.275186962668688,0.0192383150663272,0,1,
31,60,114.907824188909,7823.29079178426,-117.010083393201,8117.7289526894,-11.2812339110237,61.960305907284,2.06976958875009,38,0,0,0,0.27712019559741,0.019777976427004,0,1,
32,62,114.673737181443,7823.53420190817,-117.076769790481,8102.43796122051,-11.2973985456769,62.0755841780284,1.89892845921111,38,0,0,0,0.27910840263034,0.0203360027492313,0,1,
33,64,114.439517801269,7823.77664889943,-117.142452606617,8087.14730303376,-11.3136572310948,62.1906759431024,1.72683687070514,38,0,0,0,0.281152208628184,0.020913181371004,0,1,
34,66,114.205168074243,7824.01809152334,-117.207113089268,8071.8570578195,-11.33000865698,62.3055811371818,1.55348333619611,38,0,0,0,0.283252999846959,0.0215105617627924,0,1,
35,68,113.970690063883,7824.25848538436,-117.270732168254,8056.56713385394,-11.3464574519278,62.420297856623,1.3788540689402,38,0,0,0,0.285412378007397,0.0221292068156631,0,1,
36,70,113.736085873837,7824.49778447578,-117.333289075977,8041.27749708995,-11.3630026754025,62.5348220260136,1.20293627207826,38,0,0,0,0.287630997182412,0.0227701123245482,0,1,
37,72,113.501357650506,7824.73594077958,-117.394761176066,8025.98831854532,-11.3796428419468,62.6491538281851,1.02571489099648,38,0,0,0,0.289909936883816,0.0234343513461283,0,1,
38,74,113.266507586324,7824.97290368305,-117.455125501247,8010.69936521248,-11.3963800698634,62.7632852444071,0.847174740688843,38,0,0,0,0.292249601987279,0.024122885214522,0,1,
39,76,113.031537922704,7825.20862193032,-117.514356023628,7995.41102087537,-11.4132130927841,62.8772201106246,0.667302964375949,38,0,0,0,0.294651160944974,0.0248367233557516,0,1,
40,78,112.796450951717,7825.44304047694,-117.572427986803,7980.12286767125,-11.4301442475732,62.9909505404603,0.486082460184662,38,0,0,0,0.297114235678821,0.0255768193879803,0,1,
41,80,112.561249018523,7825.67610322913,-117.629312835223,7964.83521224735,-11.4471747656229,63.1044762185548,0.303500594417528,38,0,0,0,0.299639361942323,0.0263441330811244,0,1,
42,82,112.325934525725,7825.90775197995,-117.684982539464,7949.54796411588,-11.4643022785421,63.2177930516781,0.119541246368783,38,0,0,0,0.302225829985889,0.0271395600945796,0,1,
43,84,112.090509933314,7826.13792697133,-117.739406381505,7934.26118755588,-11.4815328295269,63.3309025400975,-0.065806543660301,38,0,0,0,0.304873824559016,0.0279639862166713,0,1,
44,86,111.854977764704,7826.3665659651,-117.792553013369,7918.97472852318,-11.4988620729766,63.4437949237608,-0.252565170192213,38,0,0,0,0.307582263914915,0.028818245547046,0,1,
45,88,111.619340606662,7826.59360589026,-117.844389938551,7903.68884200634,-11.5162883288901,63.5564695366089,-0.440744931008453,38,0,0,0,0.31035037240265,0.0297030873479119,0,1,
46,90,111.383601111139,7826.81898118203,-117.894883974421,7888.40356394901,-11.5338152576373,63.6689281143009,-0.630363033887079,38,0,0,0,0.313176909140466,0.0306193224514904,0,1,
47,92,111.147761999343,7827.0426256106,-117.943999625244,7873.11850236241,-11.5514450092425,63.7811622653682,-0.821434276406023,38,0,0,0,0.316060620468384,0.0315675578374521,0,1,
48,94,110.911826064913,7827.26447050978,-117.991699743362,7857.83410027999,-11.5691753108784,63.8931735473113,-1.01397585253847,38,0,0,0,0.31899992576062,0.0325484806239038,0,1,
49,96,110.67579617596,7827.484447547,-118.037947159,7842.54998742704,-11.587009754158,64.0049515374712,-1.20800362802709,38,0,0,0,0.321992772753452,0.0335625913377276,0,1,
50,98,110.439675276657,7827.70248591851,-118.082702883768,7827.2667165311,-11.6049454956419,64.1165016540814,-1.40353339523125,38,0,0,0,0.325037274476018,0.0346103631039534,0,1,
51,100,110.203466389617,7827.91851459069,-118.12592761224,7811.98369795062,-11.6229872091834,64.2278152738548,-1.60058149275022,38,0,0,0,0.328130836286673,0.0356921285356131,0,1,
52,102,109.967172617109,7828.13246108104,-118.167580795451,7796.70134080102,-11.6411327618482,64.3388898533495,-1.79916440874513,38,0,0,0,0.331271224068471,0.0368082704159062,0,1,
53,104,109.730797143084,7828.34425288803,-118.207621590284,7781.41961141897,-11.6593848336591,64.4497246783225,-1.99929961899613,38,0,0,0,0.334455477645108,0.0379588815711526,0,1,
54,106,109.49434323557,7828.55381712405,-118.246006421062,7766.1383132876,-11.6777417241447,64.56031493651,-2.20100296662395,38,0,0,0,0.337682885341614,0.0391446396140234,0,1,
55,108,109.257814250116,7828.76107701879,-118.282690880233,7750.85760622917,-11.6962066997594,64.670656054503,-2.40429353103582,38,0,0,0,0.340955294118397,0.0403674553002362,0,1,
56,110,109.021213634561,7828.96595282644,-118.31762771501,7735.57751514621,-11.7147769736834,64.7807450807054,-2.60918611694592,38,0,0,0,0.344274731429025,0.0416292427765482,0,1,
57,112,108.784544933218,7829.16836073874,-118.350766887213,7720.29810976585,-11.7334569941684,64.8905810934069,-2.81569954361242,38,0,0,0,0.347642680239677,0.0429319258962484,0,1,
58,114,108.547811794908,7829.36821214275,-118.382054638496,7705.0191734112,-11.7522487918395,65.0001572620053,-3.02385155353807,38,0,0,0,0.351060843166283,0.0442774349477466,0,1,
59,116,108.311017977892,7829.56541542619,-118.411435180322,7689.74094640716,-11.7711452310377,65.10947057622,-3.23365936665368,38,0,0,0,0.354530262935546,0.0456675950607163,0,1,
60,118,108.074167356002,7829.75987492937,-118.438848291388,7674.46342197195,-11.7901519923514,65.2185178640138,-3.44514165675508,38,0,0,0,0.358052079870988,0.0471042004023071,0,1,
61,120,107.837263925648,7829.95149121998,-118.46423184163,7659.18655452335,-11.809274083518,65.3272963074975,-3.65831541032742,38,0,0,0,0.361626710836809,0.0485889948589215,0,1,
