step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,entry_phase,
1,0,121.993,7824.83890465838,-137.426366773125,8583.44965536054,16.229738041039,-18.2361953533914,-144.231531926196,38,0,0,0,0.247110822707435,0.00869847004949705,0,1,
2,2,121.718097710147,7825.15386623637,-137.475793160559,8583.44955261739,16.2026618246473,-18.1301855664544,-144.146762391042,38,0,0,0,0.245576318290995,0.00872785332674258,0,1,
3,4,121.443097445901,7825.4685038454,-137.524340460477,8569.25311326654,16.2131980603585,-18.0241214775079,-144.062095899025,38,0,0,0,0.246420594247683,0.00895992391028825,0,1,
4,6,121.168000970592,7825.78280215432,-137.572003343033,8555.05620408494,16.2238329002899,-17.9180039361203,-143.977534626813,38,0,0,0,0.247305993272104,0.00919899421819132,0,1,
5,8,120.892810057605,7826.09674446539,-137.618777181105,8540.85911632653,16.2345782170895,-17.8118356135131,-143.893077266532,38,0,0,0,0.248234790484694,0.00944559350699653,0,1,
6,10,120.617526490819,7826.4103130543,-137.664656102113,8526.66196472035,16.2454216141458,-17.7056122691954,-143.808719599343,38,0,0,0,0.249208341862677,0.00970028406831566,0,1,
7,12,120.342152065602,7826.72348931762,-137.709634437165,8512.46415997083,16.2563482883054,-17.5993375780681,-143.724470059863,38,0,0,0,0.250228379846118,0.00996360763939659,0,1,
8,14,120.066688589889,7827.03625328643,-137.753705431982,8498.26671359113,16.2673815051872,-17.4930112622616,-143.640317737371,38,0,0,0,0.251296512111374,0.0102361267286592,0,1,
9,16,119.791137885232,7827.34858351251,-137.796862112201,8484.06872670885,16.2785065197174,-17.3866339692866,-143.556264657171,38,0,0,0,0.2524172412153,0.0105187761160088,0,1,
10,18,119.515501787504,7827.66045559503,-137.839096879347,8469.87046452939,16.2896903169965,-17.2802046289832,-143.472316380302,38,0,0,0,0.253598192124343,0.0108131383865696,0,1,
11,20,119.239782150794,7827.97184376956,-137.880399278759,8455.67238110105,16.3010572519739,-17.173723952627,-143.388465230467,38,0,0,0,0.254841865638829,0.0111198660956399,0,1,
12,22,118.963980848931,7828.28272026942,-137.920760219227,8441.47391788414,16.3125128396827,-17.067192424233,-143.30470986223,38,0,0,0,0.256149077863844,0.0114396099377972,0,1,
13,24,118.688099774677,7828.59305620538,-137.960169791242,8427.27504151437,16.3239634439483,-16.9606137082918,-143.221055419547,38,0,0,0,0.257522701335226,0.0117730016904393,0,1,
14,26,118.412140842739,7828.90282106192,-137.998615761823,8413.07648372233,16.3355977919685,-16.8539819598583,-143.137494889089,38,0,0,0,0.258963465886498,0.0121206982629789,0,1,
15,28,118.136105991027,7829.21198368734,-138.036087342492,8398.87730828626,16.347478673629,-16.747302377269,-143.054032970766,38,0,0,0,0.260474083225505,0.0124833799546024,0,1,
16,30,117.859997181962,7829.52051132757,-138.072570786396,8384.67831067899,16.3593553247317,-16.640572018551,-142.970662469351,38,0,0,0,0.262053600012138,0.0128616118772391,0,1,
17,32,117.583816403985,7829.82836945192,-138.108053674436,8370.47873036633,16.371317159809,-16.5337934919078,-142.8873885222,38,0,0,0,0.263705205136331,0.0132561995691745,0,1,
18,34,117.307565672082,7830.13552261533,-138.142522165846,8356.27922926172,16.3834043103176,-16.4269655551676,-142.804206862111,38,0,0,0,0.265429559889018,0.0136677449200341,0,1,
19,36,117.031247030345,7830.44193357538,-138.175960816443,8342.07940950904,16.3955865174721,-16.3200916235994,-142.721119195272,38,0,0,0,0.267227638856288,0.0140969414854198,0,1,
20,38,116.754862553085,7830.74756431484,-138.208354754541,8327.87969314686,16.407871894819,-16.2131687645657,-142.638128038058,38,0,0,0,0.269099859582896,0.0145445136939801,0,1,
21,40,116.478414346885,7831.05237479333,-138.239686797079,8313.68015144109,16.4202649789204,-16.106197652491,-142.555225764484,38,0,0,0,0.271047035118801,0.0150111145889812,0,1,
22,42,116.201904551825,7831.35632385334,-138.269940243598,8299.48022512657,16.4327260436961,-15.999178056225,-142.472417754218,38,0,0,0,0.273069216759723,0.0154974657598476,0,1,
