step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
13,24,121.547100498053,7164.63066694177,6882.97675253918,-37.1577745733937,4907.99745201884,-4.6005903664492,7.72397465044678,-24.3491332704868,40,0,0,0,0.223789268164218,0.019977903496538,0,0,1,
14,26,121.469688787206,7164.72063193996,6883.06295218745,-40.2539371015027,4894.53370221116,-4.61076012731624,7.82305207333489,-24.2781851628976,40,0,0,0,0.22402798856577,0.0201255419468052,0,0,1,
15,28,121.386084851794,7164.81867699742,6883.15744340222,-43.349997215301,4881.06992609193,-4.62100453182458,7.92211811896505,-24.2071986614061,40,0,0,0,0.224289049061255,0.0202864236624265,0,0,1,
16,30,121.296288908022,7164.92479390211,6883.26021813737,-46.4459435616275,4867.60603739496,-4.63132133411345,8.02117042587908,-24.1361717130209,40,0,0,0,0.224573697038737,0.0204608248316947,0,0,1,
17,32,121.200301196693,7165.03897458636,6883.37126847702,-49.5417628103542,4854.14215827116,-4.6417152442251,8.12021090397364,-24.065103334412,40,0,0,0,0.224882575730996,0.0206491916107934,0,0,1,
18,34,121.098121983035,7165.16120992143,6883.49058548504,-52.6374436286606,4840.67806276632,-4.65218464723196,8.21923888009744,-23.993994712622,40,0,0,0,0.225216645663437,0.0208519628521626,0,0,1,
19,36,120.989751556029,7165.29149153716,6883.61816094238,-55.7329741831506,4827.21389390517,-4.66273038545031,8.31825430715071,-23.9228438081858,40,0,0,0,0.225577145693645,0.0210696006163599,0,0,1,
20,38,120.87519022806,7165.42980970973,6883.75398531943,-58.8283425989121,4813.74955352002,-4.67335283000977,8.41725676370142,-23.8516496271665,40,0,0,0,0.225965188333007,0.0213026576018956,0,0,1,
21,40,120.754438335256,7165.57615488887,6883.89804923527,-61.923537008197,4800.28503808102,-4.68405318799625,8.51624729198099,-23.7804133541033,40,0,0,0,0.226382081120634,0.0215517114034703,0,0,1,
22,42,120.627496238172,7165.73051714408,6884.05034292561,-65.0185448324328,4786.82032651709,-4.6948308232768,8.61522476798561,-23.709131878525,40,0,0,0,0.22682904972826,0.0218174228138128,0,0,1,
23,44,120.494364322698,7165.89288601682,6884.21085609576,-68.1133533177136,4773.35536368034,-4.70569024537777,8.71418865022281,-23.6378042278585,40,0,0,0,0.227307874444934,0.0221005113109188,0,0,1,
24,46,120.355043000382,7166.06325074925,6884.37957814013,-71.2079495823321,4759.89015890993,-4.71663390667045,8.81314130937336,-23.5664325835208,40,0,0,0,0.227819792394652,0.0224017371894917,0,0,1,
25,48,120.20953270823,7166.24159968773,6884.55649759628,-74.302320697849,4746.42462015479,-4.72765315368896,8.91208091714229,-23.4950138856927,40,0,0,0,0.228366799226737,0.0227220152818614,0,0,1,
26,50,120.057833909177,7166.42792089031,6884.74160269197,-77.3964543135286,4732.95876268724,-4.7387561760431,9.01100752469134,-23.4235503559292,40,0,0,0,0.228950561141432,0.0230621764111651,0,0,1,
27,52,119.899947092919,7166.62220184521,6884.93488105446,-80.4903356804743,4719.49271845438,-4.74993907705296,9.10992113949544,-23.3520367246618,40,0,0,0,0.229573810652412,0.0234235060649584,0,0,1,
28,54,119.735872776567,7166.82442895166,6885.13631926477,-83.5839520857988,4706.02620347909,-4.76120985293228,9.20882352444862,-23.2804783895306,40,0,0,0,0.230240699527965,0.0238078784438801,0,0,1,
29,56,119.565611504402,7167.03458737786,6885.34590265663,-86.6772888278886,4692.55936415577,-4.77255854944261,9.30771236474187,-23.2088690634466,40,0,0,0,0.230954216698139,0.0242167758537974,0,0,1,
30,58,119.389163849679,7167.25266166937,6885.56361593851,-89.7703321877657,4679.09208168957,-4.78399807940741,9.40658769945146,-23.1372120325373,40,0,0,0,0.231716826906858,0.0246516089678859,0,0,1,
31,60,119.206530414264,7167.47863533156,6885.78944278571,-92.8630670346489,4665.62454889424,-4.79552397510581,9.50545089148008,-23.0655032186104,40,0,0,0,0.232531845506364,0.0251139884841261,0,0,1,
32,62,119.017711830473,7167.71249088331,6886.02336585034,-95.9554776574757,4652.15641941716,-4.807129601027,9.60430102146883,-22.993744529736,40,0,0,0,0.233402150586558,0.0256056279815634,0,0,1,
33,64,118.822708762618,7167.95420975483,6886.26536672861,-99.0475484247478,4638.68790050759,-4.81882591621678,9.70313894021116,-22.921934258482,40,0,0,0,0.234330965150052,0.0261283377587541,0,0,1,
34,66,118.621521908058,7168.20377205066,6886.51542566747,-102.139261616582,4625.21882771339,-4.8306158806267,9.80196418482579,-22.8500721981307,40,0,0,0,0.235321864681116,0.0266841408311785,0,0,1,
35,68,118.414151997539,7168.46115679521,6886.77352185286,-105.23060151067,4611.74924626457,-4.84249950606097,9.9007757792598,-22.7781575576073,40,0,0,0,0.23637818102015,0.0272751958316621,0,0,1,
36,70,118.200599795208,7168.72634142484,6887.03963287353,-108.321550150945,4598.27921778854,-4.85445840336155,9.99957501285583,-22.7061903204966,40,0,0,0,0.237503742417135,0.0279037143479289,0,0,1,
37,72,117.980866101065,7168.99930204315,6887.31373498671,-111.412090229986,4584.80863071397,-4.86650262265043,10.0983606476178,-22.6341674184337,40,0,0,0,0.238702093791253,0.0285723731306846,0,0,1,
38,74,117.754951752285,7169.28001310451,6887.59580276785,-114.50220155682,4571.33744448652,-4.87866027940301,10.1971339457009,-22.5620899132678,40,0,0,0,0.239977749173039,0.0292836661573057,0,0,1,
39,76,117.522857625401,7169.56844741548,6887.88580916892,-117.591864647832,4557.86561057275,-4.89090370698814,10.2958943829219,-22.4899567914616,40,0,0,0,0.241334583338914,0.0300405288600547,0,0,1,
40,78,117.284584637983,7169.86457572155,6888.18372506445,-120.681058232793,4544.39313520653,-4.90324816821183,10.3946397938495,-22.4177673303683,40,0,0,0,0.242776769417374,0.0308460138750156,0,0,1,
41,80,117.040133750499,7170.1683671795,6888.48951974968,-123.769761005648,4530.9201978529,-4.9156807106004,10.493374966187,-22.345523236317,40,0,0,0,0.244308472423234,0.0317034388873682,0,0,1,
42,82,116.789505966408,7170.47978850293,6888.80316007217,-126.8579509474,4517.44644894427,-4.92820345585986,10.5920969961284,-22.2732217345392,40,0,0,0,0.24593418426338,0.0326162894072783,0,0,1,
43,84,116.532702336129,7170.79880423207,6889.12461066907,-129.945602773273,4503.97202398506,-4.94082323404856,10.690804293024,-22.200860725662,40,0,0,0,0.247658182624637,0.0335883561848181,0,0,1,
44,86,116.269723960099,7171.12537661453,6889.45383392592,-133.032692357318,4490.49697082623,-4.95354673171855,10.7894992449678,-22.1284412293849,40,0,0,0,0.24948494941581,0.0346235906236455,0,0,1,
45,88,116.000571990113,7171.45946521229,6889.79078949417,-136.119192149422,4477.02113112025,-4.96636570883399,10.8881805093972,-22.0559613034799,40,0,0,0,0.25141838782928,0.0357263293097265,0,0,1,
