step,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,0,122.000000000001,7937.35962748292,-105.487560579747,9531.6120600482,50.1138640355754,12.9089784150095,30,-50,0,0,-13.1669639832744,0,0.20863615947118,
2,5,121.472161433347,7937.8641765584,-105.647522359182,9531.61197796542,50.4351204424404,12.6908514257815,30,-50,0,0,-13.1119225002327,0,0.2102776115057,
3,10,120.943532266535,7938.36773568249,-105.80379723663,9493.72319365378,50.7560895417859,12.4699969928614,30,-50,0,0,-13.1359226894607,0,0.212097937880876,
4,15,120.414130969147,7938.87016684909,-105.956370827073,9455.83491192555,51.0767634063468,12.2463514914501,30,-50,0,0,-13.1604379736425,0,0.214113570341617,
5,20,119.883976090314,7939.37131344544,-106.105225215591,9417.94731332102,51.3971268846235,12.0198428754959,30,-50,0,0,-13.1854298167273,0,0.216342224490568,
6,25,119.353086277963,7939.87099285221,-106.250337253305,9380.060921717,51.7171782646857,11.7904021257162,30,-50,0,0,-13.2109121128063,0,0.218826794406992,
7,30,118.821480317234,7940.36898947764,-106.391676963949,9342.17526399503,52.0369081062909,11.5579583753172,30,-50,0,0,-13.2368934027198,0,0.221597049484259,
8,35,118.289177152483,7940.86506671093,-106.529209937559,9304.29053962247,52.3562987167475,11.3224325516384,30,-50,0,0,-13.2633784387722,0,0.224672663796029,
9,40,117.756195916116,7941.35896675564,-106.662895286587,9266.40739447816,52.6753482248445,11.0837492562173,30,-50,0,0,-13.2903722441369,0,0.228072827089889,
10,45,117.222555959548,7941.8504150515,-106.792686794803,9228.52530923089,52.9940386907324,10.8418267793821,30,-50,0,0,-13.3178806727787,0,0.231814303645195,
11,50,116.688276876353,7942.33911536623,-106.918533358658,9190.64498081821,53.3123657212465,10.5965858505414,30,-50,0,0,-13.3459030622736,0,0.235913290790995,
12,55,116.15337853013,7942.82475371121,-107.04037753376,9152.76609793528,53.6303136772245,10.3479380247049,30,-50,0,0,-13.3744528347607,0,0.240383708921506,
