guid_id,loop_dt,rwy_alt,vel,surfv,mach,hdot,lat,long,range,delaz,nz,drag,eow,prog_pch,prog_roll,prog_yaw,flap_defl,spdbk_defl,
11,0.560000000521541,112074.063206848,7869.96227029643,7869.96227029643,22.056377952266,-159.052852472176,25.4016220616741,163.314758953587,7457.47773852479,5.79843130270192,0.000610124885117698,0.0684646821330926,9818014.39582377,40.2762650369148,-0.202453414026701,0.202881424776379,0,0,
11,0.580000000540167,111981.826424692,7870.05759967633,7870.05759967633,22.0984453805091,-159.012947769537,25.4237037204414,163.349696445205,7453.21755486168,5.7979632030758,0.000618660700330255,0.06919933726226,9817952.13941128,40.2432950409248,-0.173217776995011,0.171455925230066,0,0,
11,0.580000000540167,111889.612749344,7870.15265444366,7870.15265444366,22.1405087903201,-158.972782614377,25.4457764968436,163.384648644802,7448.9572518537,5.79749628542482,0.000627396693213207,0.0699504935142911,9817889.28326007,40.2145111769176,-0.14801948191846,0.14457634351289,0,0,
11,0.580000000540167,111797.422266238,7870.247511373,7870.247511373,22.1825571808201,-158.93244235154,25.4678403585504,163.419615540847,7444.69682933178,5.79703136387047,0.000636322547170698,0.0707157777605393,9817826.00301215,40.1900034742192,-0.125949155915,0.120409882788644,0,0,
11,0.600000000558794,111702.077434503,7870.34522956666,7870.34522956666,22.2245796843878,-158.890283069832,25.4898952995783,163.454597155017,7440.28936850108,5.79655174794537,0.000645437145417799,0.0714954192873297,9817759.57772618,40.1682104682504,-0.107145673347292,0.100120761225997,0,0,
11,0.560000000521541,111613.111610324,7870.43645223823,7870.43645223823,22.2651193900278,-158.85102454391,25.5111812569417,163.488386502169,7436.17562500933,5.79610515590514,0.000654749950139868,0.07229193869727,9817697.70252089,40.1493699463777,-0.0908597231242041,0.0829174281236183,0,0,
11,0.560000000521541,111524.167851365,7870.52722989734,7870.52722989734,22.3056225055091,-158.811294941414,25.5324588628258,163.522189580592,7432.06177071791,5.79566103720492,0.000664245327567714,0.0731004364495055,9817634.77703908,40.133012664624,-0.0766300787902923,0.068080173779767,0,0,
11,0.560000000521541,111435.24626512,7870.61791152011,7870.61791152011,22.3460762754366,-158.771523241733,25.5537281132693,163.556006416677,7427.94780393107,5.79521819757439,0.000673926548652512,0.0739228486827791,9817571.69044562,40.1183919474253,-0.0647898120791445,0.0565412260264224,0,0,
11,0.560000000521541,111346.346956237,7870.70840681484,7870.70840681484,22.3864741912032,-158.7315956794,25.5749889951918,163.589837020358,7423.83372847406,5.79477598834736,0.000683807627909247,0.0747614833286603,9817508.20441735,40.1056572745565,-0.0546285409381298,0.0463851280521951,0,0,
11,0.560000000521541,111257.470018521,7870.7987309037,7870.7987309037,22.4268066662558,-158.691530533593,25.5962415051571,163.623681419015,7419.71954257487,5.7943351135481,0.000693874585183645,0.0756131361904474,9817444.35290081,40.0945923160062,-0.0472942612344415,0.0392053947032463,0,0,
11,0.560000000521541,111168.615572833,7870.88866670155,7870.88866670155,22.4670631729104,-158.651073016695,25.6174856115585,163.65753959368,7415.60524636927,5.7938958389057,0.000704137371758162,0.0764791174297454,9817379.60030413,40.0852094164664,-0.0402862328719014,0.0331422913991333,0,0,
11,0.560000000521541,111079.783661007,7870.978591224,7870.978591224,22.507236785968,-158.610678931279,25.638721310569,163.691411572129,7411.49083840311,5.79345866170436,0.000714589249084314,0.0773581967130591,9817314.89257666,40.0774603396231,-0.0334362275057591,0.0271429793792973,0,0,
11,0.560000000521541,110990.974395273,7871.06833018659,7871.06833018659,22.5473166484354,-158.570137948323,25.6599485897175,163.725297363967,7407.37632210781,5.79302344674494,0.000725243404404073,0.0782521575416765,9817249.7903205,40.0715433710368,-0.027172653482928,0.0215987064617837,0,0,
11,0.560000000521541,110902.187820441,7871.15782710758,7871.15782710758,22.5872936180872,-158.529383008472,25.6811674356723,163.759196980649,7403.26169588695,5.79258956227731,0.000736109367345812,0.0791629660613415,9817184.15054877,40.0672071244796,-0.0237546638925243,0.0184333808292053,0,0,
11,0.560000000521541,110813.424155091,7871.24701945831,7871.24701945831,22.6271646544585,-158.488343187192,25.7023778437803,163.793110450653,7399.14695990346,5.79215834103128,0.000747160376623217,0.0800852327212366,9817117.82056469,40.063488626066,-0.0204892304665727,0.0153247226335348,0,0,
11,0.560000000521541,110724.683465336,7871.33600848363,7871.33600848363,22.6669074785187,-158.447138799816,25.7235797834564,163.827037752229,7395.0321126738,5.79172526909996,0.000758404018094318,0.08102047968269,9817051.04765715,40.0602747236636,-0.0174091873936359,0.0123086023747593,0,0,
11,0.560000000521541,110635.965816227,7871.42481390817,7871.42481390817,22.7065212680042,-158.405798737479,25.7447732509874,163.860978912403,7390.91715779088,5.79129345934737,0.000769846183806857,0.0819696930328207,9816983.88828578,40.0576087992735,-0.0145007117772089,0.00936710394850598,0,0,
11,0.560000000521541,110547.27141541,7871.51341694698,7871.51341694698,22.745996043958,-158.364299325066,25.7659582322328,163.894933942284,7386.80209361121,5.79086332441699,0.000781493747060603,0.0829336692777915,9816916.29046855,40.055479960032,-0.0119277553650357,0.0073522881812167,0,0,
11,0.560000000521541,110458.600273522,7871.60183840673,7871.60183840673,22.7853180667153,-158.322670921689,25.787134724265,163.928902871237,7382.68692017433,5.79043453812942,0.000793346738002591,0.083912379638028,9816848.31460063,40.0538960091332,-0.00980144733483752,0.00668112306644153,0,0,
