step,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
18,85,112.930496651127,7945.5389997804,-107.731570366681,8919.28327743172,56.0423890152088,9.71199099165909,30,-60,0,0,-12.6123481424107,0,0.275627309572703,
19,90,112.391595383489,7945.99359152594,-107.828443734832,8881.26742209407,56.3564573871265,9.43006619264861,30,-60,0,0,-12.6437222528996,0,0.283052627987711,
20,95,111.852220497943,7946.44173043484,-107.920991500293,8843.25399848032,56.6700125184139,9.14376604065313,30,-60,0,0,-12.6756201500148,0,0.290953690082174,
21,100,111.312393910263,7946.88283542667,-108.009095811819,8805.24308153452,56.9830416745784,8.85297239087265,30,-60,0,0,-12.7080465597065,0,0.299327010087553,
22,105,110.772138151431,7947.31630080656,-108.092629365605,8767.23452869443,57.2955245571406,8.55756127603041,30,-60,0,0,-12.7410042414457,0,0.308159591795099,
23,110,110.231476409444,7947.7415061502,-108.171455930188,8729.22871811393,57.6074465898739,8.25741048611718,30,-60,0,0,-12.7744975124456,0,0.317429858586192,
24,115,109.690432580591,7948.15782210604,-108.245428948109,8691.22571943216,57.9187895308801,7.95238192917094,30,-60,0,0,-12.8085367226561,0,0.327107908091262,
25,120,109.149031318874,7948.56460996433,-108.314390236717,8653.22540606256,58.2295290170466,7.64234325628081,30,-60,0,0,-12.8431228942344,0,0.337194694113688,
26,125,108.607298114721,7948.96116679408,-108.37816047642,8615.22850285319,58.5396444553326,7.32715439893764,30,-60,0,0,-12.8782176675923,0,0.347725197273454,
27,130,108.065259431327,7949.34671952795,-108.436529904527,8577.23523279101,58.8491214368931,7.00667058061492,30,-60,0,0,-12.9138748717832,0,0.358727309978866,
28,135,107.522942865818,7949.7204255344,-108.489254423095,8539.24524709134,59.1579335414005,6.68074007437144,30,-60,0,0,-12.9500897804765,0,0.370220465964376,
29,140,106.980377313275,7950.0813775717,-108.536058217818,8501.2590535067,59.466057852548,6.3492110138788,30,-60,0,0,-12.9868664404087,0,0.382215790020198,
30,145,106.437593128634,7950.42861185789,-108.576633966913,8463.27698991449,59.7734754561465,6.01192141217012,30,-60,0,0,-13.0242219969207,0,0.394716002871984,
31,150,105.894622288174,7950.7611070266,-108.610640273839,8425.29881279444,60.0801595342692,5.66870786414069,30,-60,0,0,-13.0621088898759,0,0.407717449574396,
32,155,105.35149856384,7951.0777956188,-108.637699515869,8387.32500987813,60.3860810717411,5.31939601003683,30,-60,0,0,-13.1005836589109,0,0.421209566474745,
