vel,10,20,30
758.99107,66.33166,34.67337,6.93467
920.41964,186.93467,130.25126,77.78894
1120.1875,303.31658,228.54271,166.43216
1322.98214,380.80402,315.67839,256.88442
1524.76786,440.20101,387.43719,315.67839
1729.58036,481.80905,437.48744,374.77387
1888.99107,513.76884,477.58794,420.90452
