v1,d1,v2,d2,v3,d3,v4,d4,v5,d5
3417.49059,51.47457,5023.1053,32.94657,2860.44059,29.91472,3646.86412,31.17799,2441.01471,19.89276
3378.16942,51.47457,5055.87294,32.94657,2827.67295,29.66207,3679.63177,30.92534,2408.24707,19.80854
3338.84824,51.47457,5088.64059,32.94657,2794.9053,29.49363,3712.39942,30.84112,2375.47942,19.64011
3299.52706,51.47457,5121.40824,32.94657,2762.13765,29.32519,3745.16706,30.58847,2342.71177,19.55589
3260.20589,51.55879,5154.17589,32.94657,2729.37001,29.07254,3777.93471,30.42003,2309.94412,19.38745
3260.20589,52.0641,5180.39,33.11501,2696.60236,28.81989,3810.70236,30.25159,2277.17648,19.30323
5180.39,43.38963,3207.77765,32.52548,2663.83471,28.65145,3843.47001,29.99894,2244.40883,19.21902
5180.39,42.88432,3175.01001,32.27283,2631.06707,28.39879,3876.23765,29.8305,2211.64118,19.05058
5180.39,42.37901,3142.24236,32.02017,2598.29942,28.23036,3909.0053,29.66207,2178.87354,18.96636
5298.35353,41.8737,3109.47471,31.6833,2565.53177,27.9777,3941.77295,29.49363,2146.10589,18.79793
5324.56765,41.36839,3076.70707,31.43065,2532.76412,27.89349,3974.54059,29.32519,2113.33824,18.62949
5357.3353,40.86308,3043.93942,31.17799,2499.99648,27.64083,4007.30824,29.15676,2080.5706,18.46105
5383.54941,40.35777,3011.17177,31.00956,2467.22883,27.47239,4040.07589,28.98832,2047.80295,18.37683
5416.31706,39.85246,2978.40412,30.7569,2434.46118,27.30396,4072.84353,28.73567,2015.0353,18.12418
5442.53118,39.34715,2945.63648,30.50425,2401.69354,27.13552,4105.61118,28.48301,1982.26765,17.95574
5481.85236,39.01028,2912.86883,30.25159,2368.92589,26.88287,4138.37883,28.31458,1949.50001,17.78731
3220.88471,51.39035,2880.10118,29.99894,2336.15824,26.71443,4171.14648,27.9777,1916.73236,17.61887
3201.22412,51.89566,2847.33354,29.8305,2303.3906,26.546,4203.91412,27.80927,1897.07177,17.87153
5494.95941,38.50497,2814.56589,29.66207,2270.62295,26.37756,4236.68177,27.64083,3463.3653,21.49291
5534.28059,38.33654,2781.79824,29.40941,2237.8553,26.20912,4269.44942,27.38818,3463.3653,21.07182
3181.56354,51.22191,2749.03059,29.15676,2205.08765,26.04069,4282.55648,27.72505,3935.21942,21.07182
3142.24236,50.96926,2716.26295,28.98832,2172.32001,25.95647,3194.67059,32.18861,4151.48589,20.22963
3102.92118,50.63239,2683.4953,28.73567,2139.55236,25.78803,3201.22412,31.76752,4282.55648,19.89276
3063.60001,50.37973,2650.72765,28.56723,2106.78471,25.6196,1883.96471,24.60898,4315.32412,19.64011
5540.83412,37.83123,2617.96001,28.31458,2074.01707,25.45116,1851.19707,24.52476,4348.09177,19.55589
5573.60177,37.32592,2585.19236,28.14614,2041.24942,25.28272,1818.42942,24.35632,4380.85942,19.38745
5612.92294,36.82061,2552.42471,27.9777,2008.48177,25.11429,1785.66177,24.2721,4413.62706,19.30323
5645.69059,36.3153,2519.65707,27.72505,1975.71413,25.03007,1752.89413,24.10367,4446.39471,19.1348
3201.22412,50.88504,2486.88942,27.64083,1942.94648,24.86163,1720.12648,24.01945,4479.16236,18.96636
3024.27883,50.12708,2454.12177,27.38818,1910.17883,24.77741,1687.35883,23.93523,4511.93,18.79793
2984.95765,49.87442,2421.35412,27.21974,1897.07177,25.11429,1654.59118,23.7668,4544.69765,18.71371
2945.63648,49.62177,2388.58648,27.0513,4708.53589,32.6097,1621.82354,23.68258,4577.4653,18.54527
2906.3153,49.36911,2355.81883,26.79865,4734.75,32.18861,1589.05589,23.59836,4610.23295,18.37683
2866.99412,49.03224,2323.05118,26.71443,4760.96412,31.76752,1556.28824,23.42992,4643.00059,18.2084
5685.01177,35.80999,2290.28354,26.46178,4787.17824,31.34643,1523.5206,23.34571,4675.76824,18.03996
5724.33294,35.30468,2257.51589,26.29334,4819.94589,30.92534,1490.75295,23.26149,4708.53589,17.87153
5763.65412,34.79937,2224.74824,26.20912,4846.16,30.50425,1457.9853,23.17727,4741.30353,17.78731
2827.67295,48.77959,2191.9806,25.95647,4872.37412,30.08316,1425.21766,23.09305,4774.07118,17.53465
2788.35177,48.52693,2159.21295,25.87225,4905.14177,29.66207,1392.45001,23.00883,4806.83883,17.36622
2749.03059,48.27428,2126.4453,25.70381,4931.35589,29.24098,1359.68236,22.92461,4839.60647,17.19778
2709.70942,48.02162,2093.67765,25.53538,3365.06236,32.69392,1326.91471,22.8404,4872.37412,17.02934
2670.38824,47.76897,2060.91001,25.36694,3397.83001,32.44127,1294.14707,22.75618,4905.14177,16.86091
2631.06707,47.51631,2028.14236,25.28272,3430.59765,32.35705,1261.37942,22.75618,4937.90942,16.69247
5802.9753,34.29407,1995.37471,25.11429,3201.22412,32.10439,1228.61177,22.67196,4970.67706,16.52403
5842.29647,33.78876,1962.60707,24.94585,3201.22412,31.6833,1195.84413,22.50352,5003.44471,16.3556
5875.06412,34.29407,1929.83942,24.77741,1883.96471,24.60898,1163.07648,22.50352,5036.21236,16.10294
2591.74589,47.26366,1897.07177,24.86163,1851.19707,24.52476,1130.30883,22.41931,5068.98,15.93451
2552.42471,46.92679,1897.07177,25.28272,1818.42942,24.35632,1097.54119,22.41931,5101.74765,15.76607
2513.10354,46.67413,5206.60412,32.94657,1785.66177,24.2721,1064.77354,22.33509,5134.5153,15.59764
2473.78236,46.42148,5226.26471,33.36767,1752.89413,24.10367,1032.00589,22.25087,5167.28294,15.4292
2434.46118,46.42148,3201.22412,32.10439,1720.12648,24.01945,999.23824,22.25087,3201.22412,21.57712
2434.46118,46.92679,1897.07177,24.6932,1687.35883,23.93523,966.4706,22.25087,2998.06471,21.15603
5881.61765,33.36767,1864.30413,24.52476,1654.59118,23.7668,933.70295,22.25087,2545.87118,19.80854
5901.27824,32.86236,1831.53648,24.44054,1621.82354,23.68258,900.9353,22.16665,2316.49765,19.05058
5914.3853,32.35705,1798.76883,24.2721,1589.05589,23.59836,868.16766,22.08243,1870.85765,17.45043
5934.04588,31.85174,1766.00118,24.18789,1556.28824,23.42992,835.40001,22.08243,1838.09001,17.282
5947.15294,31.34643,1733.23354,24.01945,1523.5206,23.34571,802.63236,21.99821,1805.32236,17.02934
5966.81353,30.84112,1700.46589,23.93523,1490.75295,23.26149,769.86472,21.82978,1772.55471,16.86091
5986.47412,30.33581,1667.69824,23.85101,1457.9853,23.09305,4295.66353,27.21974,1739.78707,16.69247
5999.58118,29.8305,1634.9306,23.68258,1425.21766,23.00883,4328.43118,26.96709,1707.01942,16.52403
6025.7953,29.32519,1602.16295,23.59836,1392.45001,23.00883,4361.19883,26.79865,1674.25177,16.3556
6045.45588,28.81989,1569.3953,23.51414,1359.68236,22.92461,4393.96647,26.546,1641.48413,16.27138
6065.11647,28.31458,1536.62766,23.34571,1326.91471,22.8404,4426.73412,26.29334,1608.71648,16.10294
6084.77706,27.80927,1503.86001,23.26149,1294.14707,22.75618,4459.50177,26.04069,1575.94883,16.01873
6110.99118,27.30396,1471.09236,23.17727,1261.37942,22.67196,4492.26942,25.87225,1543.18118,15.85029
6130.65177,26.79865,1438.32471,23.09305,1228.61177,22.58774,4525.03706,25.6196,1510.41354,15.68185
6156.86588,26.29334,1405.55707,23.00883,1195.84413,22.50352,4557.80471,25.36694,1477.64589,15.59764
6183.08,25.78803,1372.78942,22.92461,1163.07648,22.41931,4590.57236,25.11429,1444.87824,15.51342
6209.29412,25.28272,1340.02177,22.8404,1130.30883,22.41931,4623.34,24.86163,1412.1106,15.34498
6242.06177,24.77741,1307.25413,22.75618,1097.54119,22.33509,4656.10765,24.60898,1379.34295,15.26076
6268.27588,24.2721,1274.48648,22.67196,1064.77354,22.25087,4688.8753,24.35632,1346.5753,15.17654
