vel,6,8,10,15,20,25,30
5180,420.72435,301.81087,220.62374,103.52113,51.60966,26.25755,5.13078
5558,421.32797,309.65795,230.88531,116.19718,75.45272,52.51509,29.87928
6030,421.93159,318.71227,244.4668,143.66197,104.12475,83.2998,60.96579
6505,423.74245,327.7666,257.14286,172.03219,134.60765,115.59356,94.4668
6981,427.36419,339.53722,281.89135,200.70423,166.5996,147.58551,128.57143
7455,443.05835,365.19115,310.56338,232.69618,198.59155,180.4829,162.37425
7830,454.22535,385.71429,333.50101,257.14286,223.03823,205.83501,188.63179
