mode,time,alt,speed,eow,mach,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,1036421.26276659,105.941751909774,7271.1984328993,2801478.21546243,23.9459077033819,-99.4012463365021,6570.2948604206,13.8930569616726,-120.068073779352,37.7605448906444,0.023087228479777,4700.13768324739,273.211814146222,-10.6356383800238,3.38622560229562,0.911194887506565,
1,1036424.26276659,105.638110041011,7271.49964233343,2801397.91172941,24.041554810443,-103.074257703112,6550.05643023152,13.7017276344843,-120.056325641309,38.1984297145114,-0.012030109855548,4679.89925305831,-778.967382765801,-10.677207892275,59.2669549021313,0.907885093662461,
1,1036427.66276659,105.280532394124,7271.85103515023,2801300.89344583,24.151505300233,-107.261269381779,6525.32236930343,13.4834113028326,-120.042967264099,38.0792404763522,0.0214372987550386,4655.16519213022,-366.667169944551,-10.7284599945647,57.4307461875557,0.910547384867277,
1,1036431.2427666,104.888635354989,7272.24045942977,2801197.77098067,24.2678983169227,-111.673222384436,6500.59024249573,13.25351177841,-120.028953006137,37.9351663444097,-0.0255562818964764,4630.43306532251,-129.85997702952,-10.7801974303016,56.848925652624,0.91173401301856,
1,1036434.8827666,104.474007155752,7272.64197990431,2801080.90338772,24.386487465121,-116.145905640447,6475.86000374551,13.0197316802201,-120.014756631397,38.0244383572363,0.0267468490127538,4605.70282657229,-41.5071713377656,-10.83242189505,56.6727008709788,0.911369333989529,
1,1036438.6027666,104.033459690857,7273.06231177183,2800952.08434432,24.5076056903968,-120.709915038967,6448.88371879845,12.7807843018067,-120.000301889174,38.0599935343557,-0.00416128014263918,4578.72654162524,4.33570809495995,-10.8899816879582,56.7358850217567,0.911078276867727,
1,1036442.24276661,103.585970986391,7273.4792184131,2800813.80162617,24.6264129977664,-125.188527068481,6424.15742424492,12.545661293016,-119.986132015614,38.0617013272477,-0.00783453694569963,4554.00024707171,-88.0841882081222,-10.9433143109488,56.1316258792153,0.911811196969453,
1,1036445.96276661,103.111908027053,7273.91259912023,2800661.18171582,24.7459820205474,-129.706394720827,6397.18542127543,12.3079380605182,-119.971858133068,38.0528908781218,0.0183624340891803,4527.02824410222,1.62122277411618,-11.0020805077109,56.2140873328049,0.910948203380004,
1,1036449.72276661,102.615602916247,7274.35541495823,2800493.33757243,24.8668618671479,-134.285258717968,6370.21565022136,12.0663277377055,-119.957403798281,38.0437144509859,0.00128723758322805,4500.05847304815,37.7301523117167,-11.0614801874425,56.4692785627688,0.909766289331742,
1,1036453.38276662,102.115984737699,7274.78799667138,2800314.60845293,24.983969790059,-138.727284764933,6345.4953299449,11.8311114995416,-119.943382070553,38.0334742878965,-0.0220812360325871,4475.33815277169,-90.3930202040156,-11.1165274788944,55.8219014477772,0.911013957555684,
1,1036457.12276662,101.588682465279,7275.2319546188,2800116.65396964,25.1033044029348,-143.252495917869,6318.52988421601,11.5907210972994,-119.929101720309,38.0242558458693,0.0135631634202817,4448.3727070428,13.6416115526845,-11.1772084470102,55.986757472141,0.910990824954302,
1,1036460.84276662,101.047446039399,7275.66854420394,2799899.31875427,25.2220524555571,-147.73179979851,6293.81357346867,11.3515827891462,-119.914944413064,38.0222600666783,0.0122056241280602,4421.40955671801,31.927418976361,-11.2385704169601,56.1930686048755,0.909504999061253,
